,sentence
0," reported on developments in foreign exchange markets since the meeting on November 13, 1996."
1,"There were no transactions in foreign currencies for System account during this period, and thus no vote was required of the Committee."
2,"The Manager also reported on developments in domestic financial markets and on System open market transactions in government securities and federal agency obligations during the period from November 13, 1996, through December 16, 1996."
3,"By unanimous vote, the Committee ratified these transactions."
4,The Committee members discussed certain changes in the procedures for conducting domestic open market operations that the Manager of the System Open Market Account had proposed for implementation at the beginning of 1997.
5,The changes included advancing the normal time for initiating daily operations by one hour to between 10:30 a. m. and 10:45 a. m. Moving to the earlier time would place Desk operations closer to the period during the day when the financing market was most active and thus in a position to accommodate a larger volume of System transactions when necessary.
6,"As at present, the Manager might choose to undertake Desk operations at other times during the day when special circumstances dictate."
7,The Manager also indicated that the normal time for domestic operations might be moved to an even earlier hour after expedited procedures were developed for assembling the necessary statistical information on a timely basis for such operations.
8,"In the interest of making information about System operations available more promptly to market participants and the broader public, the Desk also would begin at the start of 1997 to announce the par amount of its market transactions shortly after the completion of the operations."
9,"With respect to purchases of Treasury coupon securities for System account, the Desk had adopted about one year ago the practice of making such purchases in separate maturity tranches but might at its option in the future spread such purchases over a number of weeks rather than over the course of several days."
10,This more flexible timing would allow the Desk to inject reserves into the banking system through outright operations as the need arose without waiting for that need to accumulate to particularly high levels.
11,"Return to top All the members who commented endorsed the changes, with several noting that they were appropriate responses to evolving market circumstances."
12,"Because the new procedures did not involve any alterations in the Committee's current directives, authorizations, or rules, a formal vote was not required."
13,The Committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.
14,"A summary of the economic and financial information available at the time of the meeting and of the Committee's discussion is provided below, followed by the domestic policy directive that was approved by the Committee and issued to the Federal Reserve Bank of New York."
15,The information reviewed at this meeting suggested that economic activity had continued to expand at a moderate pace in recent months.
16,"Consumer spending had rebounded from its summer lull, but housing demand was somewhat weaker on balance and the growth of business spending on durable equipment had slowed from a very rapid pace."
17,"Although inventory investment had picked up, stocks in most sectors had remained well aligned with sales."
18,Both industrial production and employment had recorded sizable advances.
19,"Increases in labor compensation had trended up this year, and consumer price inflation also had picked up, but the faster rise in overall consumer prices owed entirely to larger increases in food and energy prices."
20,Private-sector demand for labor remained solid in November.
21,"Private nonfarm payroll employment increased appreciably further in November after an October surge, and the average workweek of private production or nonsupervisory workers retraced more than half of its October decline."
22,"Service industries recorded another large gain in employment despite a sharp drop in payrolls at help-supply firms, and the number of jobs in retail trade expanded further in November after a steep rise in October."
23,"In the goods-producing sector, employment in construction and manufacturing rose moderately."
24,"The civilian unemployment rate increased slightly, to 5."
25,"4 percent, in November."
26,Industrial production rose sharply in November after a small October decline.
27,"A rebound in motor vehicle assemblies from the disruptive effects of work stoppages accounted for much of the increase in production in November, but output from utilities also surged in response to unusually cool weather."
28,The production of nondurable consumer goods and business equipment other than motor vehicles also was up significantly in November while the manufacture of consumer durables and defense and space equipment decreased further.
29,"Reflecting the strong advance in production, the utilization of total industrial capacity picked up considerably in November."
30,Consumer spending increased appreciably on balance in recent months after a lackluster performance in the summer.
31,Total retail sales fell in November but nonetheless were considerably above their average in the third quarter.
32,"The November decline reflected weakness in auto sales; retail spending on other items, notably durable goods, rose significantly further."
33,Spending on services picked up in October (latest data) following a relatively weak third quarter.
34,Housing starts rebounded in November after declining in September and October.
35,Single-family starts in November were a little below the average pace of previous months in the year while multifamily starts surged to a level not seen since late 1990.
36,"By contrast, sales of both new and existing homes dropped again in October (latest data)."
37,Return to top Growth of business fixed investment appeared to have slowed to a moderate pace in the fourth quarter after a sharp rise in the previous quarter.
38,"Shipments of nondefense capital goods fell in October, reversing a sizable September gain; however, recent data on orders pointed to further increases in business spending for equipment, especially for communications equipment where shipments already were at a high level."
39,"Business investment in transportation equipment evidently weakened, as sales of heavy trucks remained sluggish and production shortfalls held back fleet sales of light vehicles."
40,"By contrast, nonresidential construction continued to expand at a solid rate in October, with building activity particularly strong in the office, other commercial, institutional, and industrial categories."
41,"Business inventory investment picked up sharply in October from the slow September pace, but total stocks remained at a low level in relation to sales."
42,"Most of the October increase occurred at the wholesale level; inventories of farm products turned up sharply after months of sizable drawdowns, and petroleum stocks were built up from unseasonably low levels."
43,"Despite the October rise, the ratio of wholesale inventories to shipments remained at the lower end of its range over recent years."
44,"In manufacturing, stocks increased at a pace in line with shipments, and the aggregate inventory-shipments ratio stayed at a very low level."
45,Retail inventories were up moderately in October.
46,The inventory-sales ratio for the sector was unchanged and remained in the middle of its range over recent years.
47,The nominal deficit on U. S. trade in goods and services was somewhat larger in September than in August; exports decreased slightly in September while imports were little changed.
48,"For the third quarter, the deficit widened substantially from its rate in the second quarter as exports fell and imports rose moderately."
49,Nearly all of the decline in exports reflected lower sales of aircraft and gold.
50,Increases in imports were widespread but they were largely offset by declines in imports of gold and semiconductors.
51,"Economic growth picked up in most of the major foreign industrial countries in the third quarter, but available indicators generally suggested some slowing of growth in the fourth quarter."
52,"In Japan, by contrast, economic activity had been sluggish in the third quarter but appeared to have picked up more recently."
53,"Consumer price inflation in October and November was lifted slightly by sizable advances in energy prices and, to a lesser degree, increases in food prices; however, consumer prices for items other than food and energy rose modestly during the two months."
54,"The rise in core consumer prices over the twelve months ended in November was somewhat smaller than it had been over the previous twelve months, although the total index registered a bigger advance as a result of larger increases in food and energy prices."
55,"At the producer level, prices of finished energy goods rose sharply in October and November while prices of finished foods advanced less rapidly."
56,"Excluding food and energy, prices of finished goods edged lower on balance over October and November, and in the twelve months ended in November, these prices rose substantially less than in the previous twelve months."
57,Average hourly earnings of production and nonsupervisory workers were up considerably in November after edging down in October.
58,The twelve-month rise in this index was somewhat larger than the advance over the previous twelve months.
59,"At its meeting on November 13, 1996, the Committee adopted a directive that called for maintaining the existing degree of pressure on reserve positions but that included a bias toward the possible firming of reserve conditions during the intermeeting period."
60,"The directive stated that in the context of the Committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, somewhat greater reserve restraint would be acceptable and slightly lesser reserve restraint might be acceptable during the intermeeting period."
61,The reserve conditions associated with this directive were expected to be consistent with moderate growth of M2 and relatively strong expansion of M3 over coming months.
62,Open market operations during the intermeeting period were directed toward maintaining the existing degree of pressure on reserve positions.
63,"However, the federal funds rate tended to average a little above the level expected with an unchanged policy stance in apparent response to scattered operating problems and occasional unexpectedly large clearing needs at banks."
64,"Other short-term interest rates registered small mixed changes since the November 13 meeting; Treasury bill rates drifted lower, partly because of heightened demands for safety and liquidity as asset markets became more volatile during the period, while year-end pressures boosted rates on private instruments with maturities in early 1997."
65,"At longer maturities, yields drifted lower over most of the intermeeting period in response to incoming data that suggested economic growth would remain moderate and inflation subdued, but they rebounded late in the period in response to the release of firmer economic data and growing concerns regarding the sustainability of current domestic asset prices."
66,"Despite these concerns, most major indexes of equity prices advanced further on balance."
67,"In foreign exchange markets, the trade-weighted value of the dollar in terms of the other G-10 currencies rose slightly over the intermeeting period."
68,"The dollar rose even more against the German mark and the French franc amid increased market apprehension that the European Monetary Union's common currency, the euro, will not be as strong a currency as the mark."
69,The dollar also might have been boosted by statements by French and German officials that suggested the dollar was undervalued against their currencies.
70,Return to top Expansion of the broad monetary aggregates was relatively strong in November.
71,"Growth of M2 picked up, reflecting a sharp increase in demand deposits and smaller runoffs in other checkable deposits."
72,Inflows to retail money market funds remained substantial.
73,Expansion of M3 moderated somewhat from its brisk pace in October as growth in business demands for credit slowed and banks reduced their reliance on large time deposits and other managed liability components.
74,"For the year through November, M2 was estimated to have grown at a rate in the upper half of the Committee's annual range, and M3 at a rate a little above the top of its range."
75,Total domestic nonfinancial debt expanded moderately on balance over recent months and remained in the middle portion of its range.
76,The staff forecast prepared for this meeting suggested that the expansion would be sustained at a pace close to the economy's estimated growth potential.
77,"Consumer spending was projected to increase at a rate generally in line with the anticipated rise in disposable income; the favorable effects on household wealth of the advance that had occurred in stock prices and the ample availability of credit for most borrowers were expected to balance the damping effects of continuing consumer concerns about the adequacy of their savings, the security of their jobs, and the extent of their debt burdens."
78,Homebuilding was forecast to decline somewhat but to stabilize at a relatively high level in the context of continued income growth and the generally favorable cash-flow affordability of home ownership.
79,Business spending on equipment and structures was projected to expand less rapidly in light of some anticipated slowing in the growth of sales and profits.
80,Fiscal policy and the external sector were expected to continue to exert small restraining influences on economic activity over the projection period.
81,"Consumer price inflation, excluding the relatively volatile food and energy components of the price index, was forecast to rise slightly over 1997 and 1998 in the context of anticipated high resource use and an accompanying appreciable pickup in the growth of labor compensation that would be augmented by the legislated rise in the federal minimum wage."
82,Somewhat larger increases would have been projected in consumer price inflation in the absence of anticipated technical measurement changes to the index.
83,"In the Committee's discussion of current and prospective developments, members commented that the information received during the relatively short interval since the previous meeting had not materially altered either their assessment that the economy was performing quite favorably or their forecasts of further growth at a pace averaging near the economy's potential."
84,"The economy currently displayed fairly solid underpinnings, with few imbalances of the kind that historically had tended to create problems."
85,"Against the background of generally supportive financial conditions and a high degree of consumer and business confidence, further economic growth was thought likely to be sustained by appreciable increases in consumer spending and business investment."
86,"The overall pace of the expansion was expected to be restrained to an extent, however, by declining federal government outlays for goods and services and ongoing weakness in net exports."
87,"Despite the prospects for moderate economic growth, members observed that the risks on inflation still seemed to be tilted toward some rise over time."
88,Measures of core inflation had displayed little trend and even some decline over the past year.
89,"However, wage increases had moved higher over that period, a development suggesting the possibility that labor markets might be tighter than could be sustained over the long term."
90,"At some point accelerating labor compensation costs, were they to continue, likely would spill over into higher inflation."
91,"Such an outcome remained subject to a great deal of uncertainty, however, in light of the relatively benign behavior in recent years of both wages and prices in comparison with historical experience at prevailing levels of resource utilization."
92,"Return to top In the Committee's discussion of developments in major sectors of the economy bearing on the outlook for business activity, members noted that consumer spending had picked up as expected after a lull during the summer months."
93,"Survey data and anecdotal reports suggested that consumer confidence was currently high, and there were widespread indications of robust retail sales during the early weeks of the holiday season, though holiday sales were always difficult to read at this stage."
94,"Thus far, however, sales of motor vehicles had not strengthened to the extent that was anticipated after full production was restored following a work stoppage at a major manufacturer."
