,sentence
0, reported on developments in foreign exchange markets during the period since the previous meeting.
1,"There were no open market operations in foreign currencies for the System's account during this period, and thus no vote was required of the Committee."
2,"The Manager also reported on developments in domestic financial markets and on System open market transactions in government securities and federal agency obligations during the period July 1, 1998, through August 17, 1998."
3,"By unanimous vote, the Committee ratified these transactions."
4,The Committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.
5,"A summary of the economic and financial information available at the time of the meeting and of the Committee's discussion is provided below, followed by the domestic policy directive that was approved by the Committee and issued to the Federal Reserve Bank of New York."
6,The information reviewed at this meeting suggested that domestic final demand continued to expand at a robust pace.
7,"However, increases in consumer spending and business investment seemed to be moderating somewhat after very large gains earlier in the year, and inventory investment had slowed markedly."
8,Net exports remained weak as a result of the persisting turmoil in Asian economies.
9,"The strike at General Motors had damped overall economic activity temporarily, but total payroll employment continued to trend upward, and labor markets remained extremely tight."
10,"Despite the pressures on labor resources, trends in wages and prices had remained stable in recent months."
11,Nonfarm payroll employment expanded further in July even though manufacturing payrolls plunged in association with the General Motors strike; job growth remained strong in most non-manufacturing sectors.
12,"Construction employment continued to increase at about the brisk pace recorded over the first half of the year, and hiring in retail trade surged."
13,"The expansion of jobs in the services industry slowed considerably in July, but this partly reflected a decline in temporary help jobs related to the GM strike."
14,The civilian unemployment rate was unchanged in July at 4.
15,5 percent.
16,Industrial production declined considerably in June and July.
17,"Abstracting from the effects of the GM strike, manufacturing output fell slightly over the June-July period after having recorded moderate gains on average in earlier months of the year; production of business equipment expanded briskly in June and July, while the output of consumer goods and materials weakened."
18,"The rate of utilization of manufacturing capacity was down appreciably in June and July, mostly reflecting the effects of the GM strike."
19,Total nominal retail sales fell in July after having risen at a rapid pace in the first half of the year.
20,"A sharp contraction in spending for motor vehicles, reflecting the termination at midyear of sales incentives offered by the Big Three automakers and shrinking inventories at GM dealers, more than accounted for the drop in July."
21,"Non-auto-related outlays continued on a robust upward trend, with gains evident in all major categories."
22,Sales increases were particularly large at furniture and appliance stores and apparel outlets.
23,"In the housing sector, both demand and construction activity remained strong."
24,Starts of single-family units edged down in May but rebounded in June.
25,"Sales of new homes were at an all-time high in June, and sales of existing homes were only a little below the record level reached in March of this year."
26,"With sales robust, the inventory of unsold new homes remained low."
27,Growth of business fixed investment slowed in the second quarter as the pace of business spending for durable equipment moderated considerably from the exceptionally strong rate of earlier in the year.
28,"Nonetheless, outlays for computer and communications equipment continued to expand rapidly in the second quarter, and purchases of other capital goods rose briskly."
29,Available information suggested that growth in business spending on capital goods likely would slow further in the months ahead.
30,"In contrast to the strength in equipment spending, expenditures on nonresidential building declined further in the second quarter, and available indicators pointed to a mixed outlook for this sector in coming months."
31,"Business inventory investment slowed sharply in the second quarter, owing in substantial measure to a runoff of motor vehicle inventories at the wholesale and retail levels."
32,"In manufacturing, stockbuilding slowed somewhat in the second quarter, and the stock- shipments ratio at the end of the quarter remained close to the low level that had prevailed over the past year."
33,"Wholesale inventories changed little on balance in the second quarter as a sizable decline in motor vehicle stocks offset a buildup of non-auto durable goods; in June, the aggregate inventory-sales ratio for this sector was at the upper end of its narrow range for the past year."
34,"At the retail level, a drop in inventories of motor vehicles in the second quarter more than offset a small increase in stocks at non-auto retailers, and the aggregate inventory-sales ratio in June was a little below the lower end of its range for the past year."
35,"The nominal deficit on U. S. trade in goods and services widened substantially further in the second quarter; the value of exports of goods and services declined for a second straight quarter, while the value of imports continued to rise, though at a somewhat reduced pace."
36,"Much of the decline in exports in the second quarter was in capital goods, but there also were noticeable decreases in most other major trade categories."
37,"The increase in imports was concentrated in imported consumer goods, aircraft, and steel."
38,"Economic activity in most of the major foreign industrial countries continued to expand, though at a slower rate, in the second quarter."
39,"In Japan, however, economic activity appeared to have contracted sharply further in the second quarter."
40,"In most other Asian economies, currencies and equity prices were under downward pressure, and in Russia, asset values plummeted in often disorderly markets."
41,"Risk spreads on dollar-denominated debt widened substantially, not only in Russia but for Latin American issuers as well."
42,Price and wage inflation had remained relatively stable in recent months.
43,Both the overall CPI and the CPI excluding food and energy items rose slightly on balance in June and July; a small rise in food prices offset a noticeable decline in energy prices over the two-month period.
44,"For the twelve months ended in July, the core CPI registered a slightly smaller increase than it had in the year-earlier period, partly reflecting lower prices for new motor vehicles."
45,Producer prices of finished goods changed little on balance in June and July; a sizable drop in the prices of energy products over the June-July period more than offset a modest rise in core producer prices.
46,"For the year ended in July, core producer prices rose somewhat more than in the year-earlier period, reflecting larger increases in the prices of finished consumer goods."
47,Hourly compensation of private industry workers rose in the second quarter at about the average rate for the previous two quarters.
48,"For the year ended in June, however, hourly compensation picked up significantly from the year-earlier period; the acceleration in compensation was evident in wages and salaries and in benefits."
49,"At its meeting on June 30-July 1, 1998, the Committee adopted a directive that called for maintaining conditions in reserve markets that would be consistent with the federal funds rate continuing to average around 5-1/2 percent."
50,"With the balance of risks still pointing to the possibility of rising inflation over time, the Committee chose to retain an asymmetric directive tilted toward a possible firming of reserve conditions and a higher federal funds rate."
51,The reserve conditions associated with this directive were expected to be consistent with moderate growth in M2 and M3 over the months ahead.
52,"Open market operations were directed throughout the period since the meeting on June 30-July 1 toward maintaining the existing degree of pressure on reserve positions, and the federal funds rate averaged a little above the intended level of 5-1/2 percent."
53,"Most other interest rates fell slightly on balance over the intermeeting period in response to market assessments that worsening conditions in Asia, Latin America, and Russia portended slower growth in U. S. output and inflation over an extended period ahead."
54,Declines in Treasury yields also reflected a continuing flight toward safety and quality from the persisting turbulence in foreign markets.
55,"In an atmosphere of increasing concerns about the prospects for corporate earnings, share prices in U. S. equity markets remained volatile and major indexes declined appreciably on balance over the intermeeting period."
