,sentence
0, reported on recent developments in foreign exchange markets.
1,There were no open market operations in foreign currencies for the System's account in the period since the previous meeting.
2,"The Manager also reported on developments in domestic financial markets and on System open market transactions in government securities and federal agency obligations during the period December 14, 2004 to February 1, 2005."
3,"By unanimous vote, the Committee ratified these transactions."
4,At this meeting the Committee engaged in a broad-ranging discussion of the pros and cons of formulating a numerical definition of the price-stability objective of monetary policy.
5,A staff presentation on the topic included a review of the potential costs and benefits of introducing such a definition as well as of other countries’ experiences.
6,"In the subsequent discussion, meeting participants uniformly agreed that price stability provided the best environment for maximizing sustainable economic growth in the long run, but expressed a range of views on whether it would be helpful for the Committee to articulate a specific numerical definition for the Federal Reserve's price-stability objective--either a single figure or a range."
7,"Those who believed such a move would be on balance beneficial cited, for example, its usefulness as an anchor for long-term inflation expectations, as a vehicle for enhanced clarity of Committee deliberations, and as an additional tool for communications."
8,"Several of those who saw greater potential drawbacks were concerned that such a shift might appear to be inconsistent with the Committee’s dual mandate of fostering maximum employment as well as price stability or that it might inappropriately bias or constrain policy at times; in any case, with inflation expectations well-contained over recent years, the benefits of announcing a specific inflation objective were not likely to be large."
9,The Committee decided to defer further discussion.
10,The information reviewed at this meeting suggested that the economy expanded at a solid pace in recent months.
11,"Consumer spending and the housing market continued to exhibit strength, and business fixed investment grew robustly in the fourth quarter."
12,The pace of inventory accumulation picked up and industrial production accelerated.
13,The labor market showed further signs of improvement.
14,"Core consumer prices rose moderately over the past few months, and measures of inflation expectations remained well-anchored."
15,Moderate increases in payroll employment during November and December pushed the average monthly advance in the quarter well above that of the third quarter.
16,"Employment gains were fairly widespread, with hiring in business services, health care, financial activities, and wholesale trade more than offsetting continued sluggishness in manufacturing and a seasonally adjusted decline in retail services during December."
17,Surveys of employers’ hiring plans and job openings pointed to continued moderate gains in employment early this year.
18,"The average workweek during the fourth quarter was unchanged from the third quarter, and as a result aggregate hours decelerated despite the pickup in employment growth."
19,The unemployment rate held steady at 5.
20,4 percent in December.
21,Industrial activity accelerated noticeably during the fourth quarter.
22,The pickup of industrial production in December owed largely to increased motor vehicle assemblies and a turnaround in the output of utilities associated with cold weather across the northeast.
23,Production of high-tech goods slowed slightly in the fourth quarter.
24,Available weekly physical product data suggested that manufacturing production would increase moderately in January.
25,Capacity utilization continued to climb through the end of the year but remained below its longer-run average.
26,"Real consumer spending expanded briskly in December and in the fourth quarter as a whole, with retail sales exhibiting widespread strength across categories."
27,Expenditures on consumer services also continued to post solid increases.
28,A surge in light vehicle sales in December pulled the average rate of sales during the fourth quarter slightly above the third-quarter pace.
29,"Real disposable personal income increased at a rapid rate at the end of the year--boosted in part by the special dividend payment by Microsoft; excluding this payment, real disposable personal income rose at a more moderate rate."
30,Measures of consumer confidence remained favorable and consistent with sustained increases in spending.
31,Residential housing activity remained buoyant in the fourth quarter.
32,A rebound in single-family housing starts in December from a disappointing November brought the fourthquarter pace about in line with that earlier in the year.
33,Sales of new and existing homes slipped some late in the year but remained robust.
34,Mortgage rates had changed little since August and continued to support demand.
35,"Construction activity in the multifamily sector weakened a bit in November and December, but indicators of underlying demand pointed to a rebound in starts in January."
36,"Business fixed investment continued to be bolstered by favorable fundamentals, including sustained expansion of business output, the flush cash position of many firms, readily available credit, and a still-favorable cost of capital."
