,sentence
0, reported on recent developments in foreign exchange markets.
1,There were no open market operations in foreign currencies for the System's account in the period since the previous meeting.
2,The Manager also reported on developments in domestic financial markets and on System open market transactions in government securities and federal agency obligations during the period since the previous meeting.
3,"By unanimous vote, the Committee ratified these transactions."
4,"The information reviewed at this meeting suggested that underlying growth in aggregate demand remained solid, even though the expansion of real GDP was estimated to have slowed in the fourth quarter."
5,"Household spending rose smartly, outside of autos, and orders and shipments of nondefense capital goods in the business sector were generally quite strong."
6,"Housing markets showed some signs of cooling, but starts and sales remained at high levels."
7,"Industrial production posted moderate gains, even after excluding hurricane-related rebounds in some production categories, and private payrolls expanded at a firm rate on average."
8,"Headline consumer inflation had been held down by falling consumer energy prices; more recently, however, crude oil prices climbed back up to high levels."
9,"Meanwhile, core inflation had moved up a bit from low levels seen last summer."
10,"Labor demand expanded further in the fourth quarter, as private nonfarm payrolls showed large gains in November followed by more-modest gains in December."
11,"The average increase over those two months represented sturdy job gains, even after accounting for the likely catch-up in employment following Hurricanes Katrina and Rita."
12,"Several sectors, including manufacturing and several service groups, added vigorously to payrolls in December, but the total for the month was held down by employment declines in a number of sectors, such as retail trade and construction, where seasonal adjustment can be difficult this time of year."
13,"Aggregate hours fell slightly in December owing to a decrease in the workweek, but they rose over the fourth quarter as a whole."
14,The unemployment rate edged down to 4.
15,9 percent in part due to the labor force participation rate ticking down.
16,"Industrial production rose notably in November and December, boosted by partial recovery from the effects of the hurricanes."
17,"Production in the mining industry, which includes oil and gas extraction, increased sharply."
18,Utilities output also popped up in December as temperatures turned unseasonably cold in the first half of the month.
19,"Abstracting from the effects of these special factors, underlying activity in the industrial sector advanced moderately."
20,"Modest production increases in most manufacturing categories in December, including high-tech, consumer goods, and business equipment, outweighed production declines in the motor vehicles and parts sector."
21,The capacity utilization rate in manufacturing stood a bit above its level of one year ago and near its long-run average.
22,"Real personal consumption expenditures appeared to have increased only modestly in the fourth quarter, as spending on motor vehicles was restrained following a surge in the summer in response to manufacturers' price incentives."
23,"Outside of motor vehicles, consumption was brisk, supported by job growth, increases in personal income, and the decline in energy prices."
24,Consumption was also likely supported by further gains in home values and equity prices that raised the ratio of household wealth to disposable income relative to that seen earlier in 2005.
25,"Consumer sentiment measured by surveys moved up in December and, judging by the preliminary reading of the Michigan Survey, edged up further in January."
26,"Activity in the housing market appeared to continue at high levels, although there were some indications of slowing."
27,"Single-family housing starts decreased markedly in December; however, this decline may have been due in part to unusually cold and wet weather in some areas of the country."
28,Multifamily housing starts increased in December.
29,Sales of new and existing homes remained at elevated levels but slowed somewhat toward the end of the year.
30,"Moreover, the stock of homes for sale increased to the upper end of ranges seen in recent years."
31,Recent data on mortgage applications and survey measures of homebuying attitudes also pointed to some cooling in the housing market.
32,"Real outlays for equipment and software appeared to have slowed significantly in the fourth quarter, as expenditures for transportation and communications equipment reversed some of their earlier sharp increases."
33,"With few exceptions, however, new orders appeared to be quite strong, and order backlogs increased for several goods in the transportation sector."
34,"Underlying fundamentals continued to support gains in capital spending as business sector output expanded, firms remained flush with funds, and relative price declines pushed down the user cost of capital equipment."
35,Anecdotal reports and surveys also indicated that businesses were optimistic about near-term capital spending plans.
36,Vacancy rates for nonresidential properties drifted lower as construction expenditures on commercial and manufacturing structures remained well below recent peaks.
