,sentence
0,"As we progress through the eighth year of the current economic expansion, economic growth has continued at a robust pace with unemployment reaching a 28-year low, while inflation has remained remarkably subdued."
1,"Although the recent surprises of both low unemployment and well-behaved inflation have been quite favorable, they have been surprises nonetheless and not easily reconcilable with each other based on old relationships and our earlier assessment of the economy's potential."
2,These developments have increased the uncertainty about the economic outlook and about the appropriate response of monetary policy in general to new developments.
3,I want to take this opportunity to discuss some implications of this increased uncertainty for the conduct of monetary policy.
4,"Objectives and Strategy for Monetary Policy To evaluate the proper strategy for monetary policy, we must first understand the Federal Reserve's policy objectives and then recognize the parameters within which policy operates in attaining these objectives."
5,The long-run goal of monetary policy is straightforward.
6,The Federal Reserve Act mandates that we promote price stability and maximum employment.
7,"Sometimes this dual objective is misunderstood, with the misconception that these inflation and employment goals cannot be attained simultaneously--that there is a tradeoff in the long run between one and the other."
8,It is worthwhile repeating what I am sure all of you already understand well: the long-run goals of price stability and maximum employment are not mutually exclusive.
9,"Not so long ago, mainstream macroeconomists thought that employment and growth were by and large independent of inflation in the long run."
10,But the evidence accumulating in the 1990s seems to suggest that low inflation contributes to real economic performance in ways not fully appreciated before.
11,"If anything, our approach to price stability, by reducing uncertainty and making long-run savings and investment decisions easier, seems to have enhanced the growth of productivity, real GDP, and employment."
12,"This indirect benefit, of course, reenforces the price stability goal."
13,"It is the rate of inflation that monetary policy determines in the long run, and this means that price stability in a straightforward way is elevated to the status of the primary long-run goal of monetary policy."
14,"In the shorter run, inflation may rise and fall depending on where the economy is operating relative to its potential."
15,"When the economy has become overextended, with output exceeding the economy's potential, employment beyond sustainable norms, and production surpassing normal capacity limits, then prices have tended to increase at an ever faster rate."
16,"Likewise, when aggregate demand has fallen short of the economy's potential, inflation has tended to fall."
17,And this is where the short-run setting of monetary policy comes into play.
18,"By moving short-term interest rates, monetary policy can affect other financial conditions and end up exerting a substantial influence on aggregate demand."
19,Decisions by businesses about investment and by households about housing and consumption are altered by changes in interest rates and other credit conditions.
20,Monetary policy also can indirectly impinge upon other components of aggregate demand.
21,"As a result, in the shorter run, monetary policy can play an important role in stabilizing the economy from undesired fluctuations in economic activity and inflation."
22,The strategy for monetary policy geared towards these shorter-run concerns can be briefly described.
23,It is to restrict monetary conditions when the economy seems on the way to becoming overheated and inflation is threatening and ease monetary conditions when signs of weakness in demand appear on the horizon.
24,But it is important that we pursue these short-run goals keeping in mind our primary long-run goal of price stability.
25,"Of course, other forces besides the state of the economy relative to its potential can influence inflation in the short run."
26,"Even prior to the anomalous experience of recent years, which I will discuss later in detail, supply shocks, such as a sudden hike in oil prices, have dramatically affected inflation."
27,"Such forces can also cause short-term fluctuations in the economy that are, at least in part, beyond the control of monetary policy."
28,"However, active stabilization policy may still have a role to play as a buffer, helping the economy to absorb such disturbances in the short run, while counteracting any persistent deviations from price stability."
29,"But monetary policy operates with a long lag, with a policy change exhibiting material effects on the economy (excluding the immediate impact on financial markets) only several quarters after its implementation."
30,"By some estimates it may be almost a year before the brunt of the effect of an interest rate change is felt on aggregate demand, although the influence appears sooner in some sectors of the economy than in others."
31,And it may generally take longer still for a policy change to alter the course of inflation.
32,"Consequently, active stabilization policy is most successful when it is preemptive, responding to early warning signals or forecasts of unfavorable developments on the inflation and employment fronts."
33,"Based on these forecasts we can then take steps to adjust the stance of monetary policy as necessary, in accordance with our objectives."
34,"Uncertainties: Old and New To be useful for monetary policy, forecasts of the future health of the economy need to be reasonably reliable."
35,"If monetary policy were naively to follow guidelines based on past regularities that are increasingly failing to reflect new realities, it would unintentionally introduce undesirable gyrations in the economy."
36,"In recent years, traditional views of the economy perhaps have been most challenged by the phenomenon of declining inflation despite increasing tightness in labor markets as evidenced by reductions in the unemployment rate to its lowest level in almost three decades."
37,"Many believe that there is an unemployment rate, the nonaccelerating-inflation rate of unemployment (the ""NAIRU""), that would be consistent with a stable inflation rate, once other short-run influences on inflation dissipate."
38,"To these economists, inflationary pressures tend to increase when unemployment remains below the NAIRU and tend to decrease when unemployment stays above the NAIRU."
39,"Since 1995, however, the unemployment rate has been below this level, and substantially below of late, while inflation has continued to progress toward our price-stability objective."
40,Yet considerable uncertainty remains about the confidence with which the new estimates can be relied upon for evaluating inflationary pressures.
41,A related uncertainty concerns the underlying trend growth of labor productivity.
42,"But there are many that believe that a pickup may have occurred in the last few years, and a faster productivity trend would help to explain the unexpectedly favorable economic growth-unemployment-inflation nexus in recent years."
43,"Unfortunately, much as with the NAIRU, our understanding of the forces that drive the productivity trend is less than perfect."
44,"Certainly, the investment boom of the current expansion has raised the amount of capital for each worker and contributed to an increase in labor productivity, and it may be that advancing technology is making the capital stock and workforce more productive."
45,"However, some of the recent pickup in productivity is the normal response to the faster output growth of late, so the degree to which there is a new higher trend remains an open question."
46,"Another difficulty in assessing the current amount of slack in the economy, and a third uncertainty, concerns the divergent patterns in alternative measures of excess demand."
47,Capacity utilization in manufacturing and the rate of unemployment have historically moved together over the cycle.
48,Recent developments in Southeast Asia also have contributed to uncertainty about the current monetary policy environment.
49,One place where the effect of the crisis is being felt is in the prices of primary commodities.
50,"Since such commodities are traded on world markets, lower demand from Asia is reflected in lower prices world-wide, which benefit U.S. producers that use commodities as inputs."
51,"This development serves as a short-run boost, a positive supply shock, to the U.S. economy, one that also helps contain inflationary pressures, as does the more general decline in import prices as the U.S. dollar appreciates."
52,"With little historical guidance to draw from, however, considerable uncertainty prevails regarding the extent to which the present Asian situation may contribute to slower U.S. growth as well as the timing of such a slowdown."
