,sentence
0,Then I shall discuss the actions that are being taken by both the public and private sectors to deal with the millennium bug and the effects these measures are having on economic activity at the present time.
1,"Such capital expenditures should raise the level of productivity in those enterprises, and addressing Y2K has increased the awareness of many senior executives of the complexity and importance of carefully managing their corporate information technology resources."
2,The increased replacement demand also has contributed to the spectacular recent growth in this country's computer hardware and software industries.
3,"While Year 2000 preparation efforts may give a temporary boost to economic activity in some sectors, the probable net effect on the aggregate economy is slightly negative."
4,"Our estimates of the net effect of Y2K remediation efforts, on both our nation's overall labor productivity and on real gross domestic product, are that it will likely shave a tenth or two per year off our growth rate, but a more substantial effect is possible if some of the larger estimates of Y2K costs turn out to be accurate."
5,"That said, let me now turn to a discussion of the spectrum of plausible outcomes for economic activity in the Year 2000."
6,"I anticipate that there will be isolated production problems and disruptions to commerce, and perhaps some public services, that could reduce the pace of economic activity early in 2000."
7,Most of us have experienced examples of how economic activity has been affected by disruptions to the physical infrastructure of some part of our country.
8,"Some businesses were hurt by the strike, but its effect on economic activity was small in the aggregate."
9,"Under these circumstances, the decline in economic activity would prove to be longer lasting, and a recession could conceivably ensue."
10,Now you might appropriately ask a Fed representative what monetary policy can do to offset any Y2K disruption.
11,"The Y2K problem is primarily an issue affecting the aggregate supply side of the economy, whereas the Federal Reserve's monetary policy works mainly on aggregate demand."
12,"We all understand how creating more money, and lowering the level of short-term interest rates, gives a boost to interest-sensitive sectors, such as homebuilding, but these tools are unlikely to be very effective in generating more Y2K remediation efforts or accelerating the recovery process if someone experiences some type of disruption."
13,"And, in the unlikely event a serious Y2K disruption should have significant feedback effects on aggregate demand, such as I outlined earlier, there obviously would be a role for the Federal Reserve to play in countering a downturn."
14,But there is nothing monetary policy can do to offset the direct effects of a Y2K disruption.
15,"In summary, as I stated at the outset of my remarks, I am cautiously but increasingly optimistic that the United States will weather this storm without major disruptions to economic activity."
