Date,"1 Mo","2 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
04/08/2022,0.20,0.49,0.70,1.19,1.81,2.53,2.73,2.76,2.79,2.72,2.94,2.76
04/07/2022,0.21,0.50,0.68,1.15,1.78,2.47,2.66,2.70,2.73,2.66,2.87,2.69
04/06/2022,0.21,0.44,0.67,1.15,1.79,2.50,2.67,2.70,2.69,2.61,2.81,2.63
04/05/2022,0.18,0.42,0.65,1.13,1.77,2.51,2.69,2.69,2.65,2.54,2.74,2.57
04/04/2022,0.18,0.42,0.66,1.14,1.72,2.43,2.61,2.56,2.52,2.42,2.64,2.48
04/01/2022,0.15,0.37,0.53,1.09,1.72,2.44,2.61,2.55,2.50,2.39,2.60,2.44
03/31/2022,0.17,0.35,0.52,1.06,1.63,2.28,2.45,2.42,2.40,2.32,2.59,2.44
03/30/2022,0.16,0.33,0.55,1.04,1.64,2.31,2.49,2.44,2.43,2.35,2.63,2.48
03/29/2022,0.18,0.34,0.55,1.06,1.67,2.35,2.54,2.49,2.50,2.41,2.68,2.53
03/28/2022,0.19,0.36,0.59,1.08,1.69,2.35,2.55,2.54,2.55,2.46,2.72,2.57
03/25/2022,0.17,0.32,0.55,1.01,1.67,2.30,2.51,2.55,2.56,2.48,2.74,2.60
03/24/2022,0.16,0.31,0.52,0.96,1.55,2.13,2.35,2.37,2.39,2.34,2.63,2.51
03/23/2022,0.15,0.27,0.50,0.93,1.52,2.13,2.32,2.34,2.37,2.32,2.65,2.52
03/22/2022,0.20,0.30,0.51,0.96,1.59,2.18,2.38,2.39,2.42,2.38,2.71,2.60
03/21/2022,0.22,0.33,0.54,0.95,1.40,2.14,2.34,2.33,2.36,2.32,2.67,2.55
03/18/2022,0.19,0.28,0.42,0.83,1.29,1.97,2.15,2.14,2.17,2.14,2.53,2.42
03/17/2022,0.20,0.30,0.40,0.81,1.30,1.94,2.14,2.17,2.22,2.20,2.60,2.50
03/16/2022,0.24,0.30,0.44,0.86,1.35,1.95,2.14,2.18,2.22,2.19,2.56,2.46
03/15/2022,0.22,0.31,0.46,0.86,1.28,1.85,2.04,2.10,2.16,2.15,2.57,2.49
03/14/2022,0.23,0.32,0.45,0.86,1.28,1.87,2.04,2.10,2.16,2.14,2.56,2.47
03/11/2022,0.17,0.28,0.40,0.78,1.22,1.75,1.91,1.96,2.01,2.00,2.45,2.36
03/10/2022,0.19,0.28,0.39,0.75,1.19,1.72,1.88,1.92,1.98,1.98,2.45,2.38
03/09/2022,0.18,0.26,0.38,0.75,1.15,1.68,1.83,1.87,1.92,1.94,2.38,2.29
03/08/2022,0.16,0.24,0.36,0.72,1.12,1.63,1.78,1.80,1.85,1.86,2.34,2.24
03/07/2022,0.17,0.23,0.38,0.75,1.07,1.55,1.68,1.71,1.77,1.78,2.29,2.19
03/04/2022,0.15,0.21,0.34,0.69,1.05,1.50,1.62,1.65,1.70,1.74,2.23,2.16
03/03/2022,0.19,0.25,0.38,0.69,1.08,1.53,1.69,1.74,1.82,1.86,2.32,2.24
03/02/2022,0.13,0.24,0.34,0.68,1.06,1.50,1.67,1.74,1.83,1.86,2.32,2.24
03/01/2022,0.11,0.21,0.32,0.60,0.91,1.31,1.47,1.56,1.67,1.72,2.19,2.11
02/28/2022,0.06,0.20,0.35,0.69,1.01,1.44,1.62,1.71,1.81,1.83,2.25,2.17
02/25/2022,0.03,0.20,0.33,0.71,1.13,1.55,1.76,1.86,1.96,1.97,2.37,2.29
02/24/2022,0.05,0.18,0.32,0.65,1.08,1.54,1.73,1.84,1.94,1.96,2.36,2.28
02/23/2022,0.02,0.20,0.34,0.74,1.16,1.58,1.78,1.89,1.98,1.99,2.36,2.29
02/22/2022,0.03,0.20,0.37,0.73,1.17,1.56,1.74,1.85,1.93,1.94,2.31,2.24
02/18/2022,0.03,0.19,0.35,0.65,1.03,1.47,1.68,1.82,1.90,1.92,2.30,2.24
02/17/2022,0.06,0.23,0.36,0.65,1.05,1.49,1.70,1.85,1.94,1.97,2.35,2.31
02/16/2022,0.03,0.17,0.38,0.67,1.09,1.52,1.75,1.90,2.00,2.03,2.39,2.34
