,sentence
0,i look forward to working closely with the members of this committee on issues of monetary policy as well as on matters regarding the other responsibilities with which the congress has charged the federal reserve system.
1,"payroll employment rose 2 million in 2005, and the unemployment rate fell below 5 percent."
2,productivity continued to advance briskly.
3,"energy prices rose substantially yet again, in response to increasing global demand, hurricane-related disruptions to production, and concerns about the adequacy and reliability of supply."
4,"the hurricanes left an imprint on aggregate economic activity as well, seen, in part, in the marked deceleration of real gdp in the fourth quarter."
5,"however, the most recent evidence--including indicators of production, the flow of new orders to businesses, weekly data on initial claims for unemployment insurance, and the payroll employment and retail sales figures for january--suggests that the economic expansion remains on track."
6,inflation pressures increased in 2005.
7,"steeply rising energy prices pushed up overall inflation, raised business costs, and squeezed household budgets."
8,"nevertheless, the increase in prices for personal consumption expenditures excluding food and energy, at just below 2 percent, remained moderate, and longer-term inflation expectations appear to have been contained."
9,"with the economy expanding at a solid pace, resource utilization rising, cost pressures increasing, and short-term interest rates still relatively low, the federal open market committee (fomc) over the course of 2005 continued the process of removing monetary policy accommodation, raising the federal funds rate 2 percentage points in eight increments of 25 basis points each."
10,at that meeting¸ monetary policymakers also discussed the economic outlook for the next two years.
11,the civilian unemployment rate is expected to finish both 2006 and 2007 at a level between 4-3/4 percent and 5 percent.
12,"inflation, as measured by the price index for personal consumption expenditures excluding food and energy, is predicted to be about 2 percent this year and 1-3/4 percent to 2 percent next year."
13,"in the announcement following the january 31 meeting, the federal reserve pointed to risks that could add to inflation pressures."
14,"among those risks is the possibility that, to an extent greater than we now anticipate, higher energy prices may pass through into the prices of non-energy goods and services or have a persistent effect on inflation expectations."
15,another factor bearing on the inflation outlook is that the economy now appears to be operating at a relatively high level of resource utilization.
16,"nevertheless, the risk exists that, with aggregate demand exhibiting considerable momentum, output could overshoot its sustainable path, leading ultimately--in the absence of countervailing monetary policy action--to further upward pressure on inflation."
17,"in these circumstances, the fomc judged that some further firming of monetary policy may be necessary, an assessment with which i concur."
18,not all of the risks to the economy concern inflation.
19,some cooling of the housing market is to be expected and would not be inconsistent with continued solid growth of overall economic activity.
20,"however, given the substantial gains in house prices and the high levels of home construction activity over the past several years, prices and construction could decelerate more rapidly than currently seems likely."
21,"slower growth in home equity, in turn, might lead households to boost their saving and trim their spending relative to current income by more than is now anticipated."
22,"the possibility of significant further increases in energy prices represents an additional risk to the economy; besides affecting inflation, such increases might also hurt consumer confidence and thereby reduce spending on non-energy goods and services."
23,"although the outlook contains significant uncertainties, it is clear that substantial progress has been made in removing monetary policy accommodation."
24,"as a consequence, in coming quarters the fomc will have to make ongoing, provisional judgments about the risks to both inflation and growth, and monetary policy actions will be increasingly dependent on incoming data."
25,"the household sector was a mainstay of the economic expansion again last year, and household spending is likely to remain an important source of growth in aggregate demand in 2006."
26,the growth in household spending last year was supported by rising employment and moderate increases in wages.
27,expenditures were buoyed as well by significant gains in household wealth that reflected further increases in home values and in broad equity prices.
28,"anecdotal information suggests that homes typically are on the market somewhat longer than they were a year or so ago, and the frequency of contract offers above asking prices reportedly has diminished."
29,"interest rates on thirty-year, fixed-rate mortgages, which were around 5-3/4 percent over much of 2005, rose noticeably in the final months of the year to their current level of around 6-1/4 percent."
30,"thus, at this point, a leveling out or a modest softening of housing activity seems more likely than a sharp contraction, although significant uncertainty attends the outlook for home prices and construction."
31,"largely reflecting the growth in home mortgages, total household debt continued to expand rapidly in 2005."
32,"but the value of household assets also continued to climb strongly, driven by gains in home prices and equity shares."
33,"to some extent, sizable increases in household wealth, as well as low interest rates, have contributed in recent years to the low level of personal saving."
34,"in the business sector, profits continued to rise last year at a solid pace, boosted in part by continuing advances in productivity."
35,"investment in high-tech equipment rebounded, its increase spurred by further declines in the prices of high-tech goods."
36,"at the federal level, the budget deficit narrowed appreciably in fiscal 2005."
37,"however, defense expenditures, hurricane relief, and increasing entitlement costs seem likely to worsen the deficit in fiscal 2006."
38,"outside the united states, economic activity strengthened last year, and at present global growth seems to be on a good track."
39,"in the euro area, expansion has been somewhat modest by global standards, but recent indicators suggest that growth could be strengthening there as well."
40,"in particular, growth in china remained vigorous in 2005."
41,"expanding foreign economic activity helped drive a vigorous advance in u.s. exports in 2005, while the growth of real imports slowed."
42,"nonetheless, the nominal u.s. trade deficit increased further last year, exacerbated in part by a jump in the value of imported petroleum products that almost wholly reflected the sharply rising price of crude oil."
43,surging energy prices also were the dominant factor influencing u.s. inflation last year.
44,"for the second year in a row, overall consumer prices, as measured by the chain-type index for personal consumption expenditures, rose about 3 percent."
45,"prices of consumer energy products jumped more than 20 percent, with large increases in prices of natural gas, gasoline, and fuel oil."
46,"food prices, however, rose only modestly."
47,"and core consumer prices (that is, excluding food and energy) increased a moderate 1.9 percent."
48,the relatively benign performance of core inflation despite the steep increases in energy prices can be attributed to several factors.
49,"also, rapid advances in productivity as well as increases in nominal wages and salaries that, on balance, have been moderate have restrained unit labor costs in recent years."
50,another key factor in keeping core inflation low has been confidence on the part of the public and investors in the prospects for price stability.
51,maintaining expectations of low and stable inflation is an essential element in the federal reserve's effort to promote price stability.
52,"and, thus far, the news has been good: survey measures of longer-term inflation expectations have responded only a little to the larger fluctuations in energy prices that we have experienced, and for the most part, they were low and stable last year."
53,"inflation compensation for the period five to ten years ahead, derived from spreads between nominal and inflation-indexed treasury securities, has remained well anchored."
54,restrained inflation expectations have also been an important reason that long-term interest rates have remained relatively low.
55,the premiums that investors demand as compensation for the risk of unforeseen changes in real interest rates and inflation appear to have declined significantly over the past decade or so.
56,"in addition, though, investors seem to expect real interest rates to remain relatively low."
57,"such a view is consistent with a hypothesis i offered last year--that, in recent years, an excess of desired global saving over the quantity of global investment opportunities that pay historically normal returns has forced down the real interest rate prevailing in global capital markets."
58,"inflation prospects are important, not just because price stability is in itself desirable and part of the federal reserve's mandate from the congress, but also because price stability is essential for strong and stable growth of output and employment."
59,stable prices promote long-term economic growth by allowing households and firms to make economic decisions and undertake productive activities with fewer concerns about large or unanticipated changes in the price level and their attendant financial consequences.
60,"experience shows that low and stable inflation and inflation expectations are also associated with greater short-term stability in output and employment, perhaps in part because they give the central bank greater latitude to counter transitory disturbances to the economy."
61,"similarly, the attainment of the statutory goal of moderate long-term interest rates requires price stability, because only then are the inflation premiums that investors demand for holding long-term instruments kept to a minimum."
62,"in sum, achieving price stability is not only important in itself; it is also central to attaining the federal reserve's other mandated objectives of maximum sustainable employment and moderate long-term interest rates."
63,"as always, however, translating the federal reserve's general economic objectives into operational decisions about the stance of monetary policy poses many challenges."
64,"over the past few decades, policymakers have learned that no single economic or financial indicator, or even a small set of such indicators, can provide reliable guidance for the setting of monetary policy."
65,"rather, the federal reserve, together with all modern central banks, has found that the successful conduct of monetary policy requires painstaking examination of a broad range of economic and financial data, careful consideration of the implications of those data for the likely path of the economy and inflation, and prudent judgment regarding the effects of alternative courses of policy action on prospects for achieving our macroeconomic objectives."
66,"monetary policymakers must therefore strike a difficult balance--conducting rigorous analysis informed by sound economic theory and empirical methods while keeping an open mind about the many factors, including myriad global influences, at play in a dynamic modern economy like that of the united states."
