,sentence
0,i will discuss the current economic outlook and monetary policy.
1,"meanwhile, the unemployment rate, which stood at 4.1 percent in october, has fallen 0.6 percentage point since the turn of the year and is nearly 6 percentage points below its peak in 2010."
2,"however, despite these labor market gains, wage growth has remained relatively modest."
3,"unemployment rates for african americans and hispanics, which tend to be more sensitive to overall economic conditions than those for whites, have moved down, on net, over the past year and are now near levels last seen before the recession."
4,"that said, it remains the case that unemployment rates for these minority groups are noticeably higher than for the nation overall."
5,"meanwhile, economic growth appears to have stepped up from its subdued pace early in the year."
6,"after having risen at an annual rate of just 1-1/4 percent in the first quarter, u.s. inflation-adjusted gross domestic product (gdp) is currently estimated to have increased at a 3 percent pace in both the second and third quarters despite the disruptions to economic activity in the third quarter caused by the recent hurricanes."
7,"i expect that, with gradual adjustments in the stance of monetary policy, the economy will continue to expand and the job market will strengthen somewhat further, supporting faster growth in wages and incomes."
8,"although asset valuations are high by historical standards, overall vulnerabilities in the financial sector appear moderate, as the banking system is well capitalized and broad measures of leverage and credit growth remain contained."
9,"even with a step-up in growth of economic activity and a stronger labor market, inflation has continued to run below the 2 percent rate that the federal open market committee (fomc) judges most consistent with our congressional mandate to foster both maximum employment and price stability."
10,"increases in gasoline prices in the aftermath of the hurricanes temporarily pushed up measures of overall consumer price inflation, but inflation for items other than food and energy has remained surprisingly subdued."
11,"the total price index for personal consumption expenditures increased 1.6 percent over the 12 months ending in september, while the core price index, which excludes energy and food prices, rose just 1.3 percent over the same period, about 1/2 percentage point slower than a year earlier."
12,"in my view, the recent lower readings on inflation likely reflect transitory factors."
13,"as these transitory factors fade, i anticipate that inflation will stabilize around 2 percent over the medium term."
14,"however, it is also possible that this year's low inflation could reflect something more persistent."
15,"indeed, inflation has been below the committee's 2 percent objective for most of the past five years."
16,"against this backdrop, the fomc has indicated that it intends to carefully monitor actual and expected progress toward our inflation goal."
17,"although the economy and the jobs market are generally quite strong, real gdp growth has been disappointingly slow during this expansion relative to earlier decades."
18,one key reason for this slowdown has been the retirement of the older members of the baby-boom generation and hence the slower growth of the labor force.
19,another key reason has been the unusually sluggish pace of productivity growth in recent years.
20,"to generate a sustained boost in economic growth without causing inflation that is too high, we will need to address these underlying causes."
21,monetary policy i will turn now to the implications of recent economic developments and the outlook for monetary policy.
22,"with ongoing strengthening in labor market conditions and an outlook for inflation to return to 2 percent over the next couple of years, the fomc has continued to gradually reduce policy accommodation."
23,the committee set limits on the pace of balance sheet reduction; those limits should guard against outsized moves in interest rates and other potential market strains.
24,changes to the target range for the federal funds rate will continue to be the committee's primary means of adjusting the stance of monetary policy.
25,we continue to expect that gradual increases in the federal funds rate will be appropriate to sustain a healthy labor market and stabilize inflation around the fomc's 2 percent objective.
26,the committee has noted that it will carefully monitor actual and expected inflation developments relative to its symmetric inflation goal.
