,sentence
0,"global financial markets were volatile over the intermeeting period, with market participants reacting to incoming information about u. s. –china trade tensions and the global growth outlook."
1,"in the weeks following the july fomc meeting, u. s. yields declined sharply and risk asset prices fell amid a spate of largely negative news about risks to the global economic outlook."
2,these price moves reversed to some degree in september as developments on trade and economic data turned more positive.
3,"in an environment of greater perceived uncertainty about potential outflows related to the corporate tax payment date, typical lenders in money markets were less willing to accommodate increased dealer demand for funding."
4,federal home loan banks reportedly scaled back their lending in the federal funds market in order to maintain some liquidity in anticipation of higher demand for advances from their members and to shift more of their overnight funding into repo.
5,"consumer price inflation, as measured by the 12-month percentage change in the price index for personal consumption expenditures (pce), was below 2 percent in july."
6,survey-based measures of longer-run inflation expectations were little changed.
7,"total nonfarm payroll employment expanded at a solid pace in july and august, al­though at a slower rate than in the first half of the year."
8,"(separately, the bureau of labor statistics' preliminary estimate of the upcoming benchmark revision to payroll employment, which will be incorporated in the published data in february 2020, indicated that the revised pace of average monthly job gains from april 2018 to march 2019 would be notably slower than in the current published data. )"
9,the unemployment rate remained at 3.
10,"7 percent through august, and both the labor force participation rate and the employment-to-population ratio moved up."
11,"the unemployment rates for african americans and hispanics declined over july and august, while the rates for whites and asians increased; the unemployment rate for each group was below its level at the end of the previous economic expansion, though persistent differentials between these rates remained."
12,both the rate of private-sector job openings and the rate of quits moved roughly sideways in june and july and were still at relatively high levels; the four-week moving average of initial claims for unemployment insurance benefits through early september was near historically low levels.
13,"total consumer prices, as measured by the pce price index, increased 1."
14,"this increase was slower than a year earlier, as core pce price inflation (which excludes changes in consumer food and energy prices) moved down to 1."
15,"6 percent, consumer food price inflation remained below core inflation, and consumer energy prices declined."
16,"the average monthly change in core pce prices in recent months was faster than earlier this year, suggesting that the soft inflation readings during the earlier period were transitory."
17,the trimmed mean measure of 12-month pce price inflation constructed by the federal reserve bank of dallas remained at 2 percent in july.
18,the consumer price index (cpi) rose 1.
19,"7 percent over the 12 months ending in august, while core cpi inflation was 2."
20,recent survey-based measures of longer-run inflation expectations were little changed on balance.
21,"the preliminary september reading from the university of michigan surveys of consumers dipped after edging up in august, but it remained within its recent range; the measures of longer-run inflation expectations from the desk's survey of primary dealers and survey of market participants were little changed."
22,"real pce rose briskly in july, while the components of the nominal retail sales data used by the bureau of economic analysis (bea) to estimate pce were flat in august and the rate of sales of light motor vehicles only edged up, suggesting some slowing in consumer spending growth in the third quarter from its strong second-quarter pace."
23,"key factors that influence consumer spending—including a low unemployment rate, further gains in real disposable income, high levels of households' net worth, and generally low borrowing rates—were supportive of solid real pce growth in the near term."
