,sentence
0,the manager noted that a coupon swap is a common transaction in the market for mbs in which the two counterparties exchange securities at market prices.
1,"a few participants supported beginning such sales fairly soon; they noted that, given the evident demand in the market for safe, longer-term assets, modest sales of mbs might not put much, if any, upward pressure on long-term interest rates or be disruptive to the functioning of financial markets."
2,a majority of participants continued to anticipate that asset sales would start after the committee had begun to firm policy by increasing short-term interest rates; such an approach would postpone asset sales until the economic recovery was well established and maintain short-term interest rates as the committee's key monetary policy tool.
3,"businesses continued to increase employment and lengthen workweeks in april and may, but the unemployment rate remained elevated."
4,falling energy prices held down headline consumer prices in april and may while core consumer prices edged up.
5,labor demand continued to firm in recent months.
6,"while the change in total nonfarm payroll employment in may was boosted significantly by the hiring of temporary workers for the decennial census, private employment posted only a small increase."
7,the unemployment rate moved up in april but dropped back in may to 9.
8,"the labor force participation rate was, on average, higher in recent months than in the first quarter, as rising employment was accompanied by an increasing number of jobseekers."
9,"initial claims for unemployment insurance were little changed over the intermeeting period, remaining at a still-elevated level."
10,"firming domestic demand, rising exports, and business inventory restocking appeared to have provided upward impetus to factory production."
11,"real disposable personal income moved up at a solid rate in march and april, reflecting increases in employment and hours worked as well as slightly higher real wages, but home values declined in recent months and equity prices moved down since the april meeting."
12,"house prices declined somewhat in recent months, reversing some of the modest increases that occurred in the spring and summer of 2009."
13,"after changing little on net during the preceding year, interest rates for 30-year fixed-rate conforming mortgages moved lower in may and june."
14,"however, spending on office and commercial structures was still falling steeply through april, with the weakness likely related to high vacancy rates, falling property prices, and the light volume of sales."
15,consumer price inflation remained low in april and may.
16,"the core consumer price index rose only slightly over the period, and the year-over-year change in the index was lower than earlier this year."
17,"core goods prices continued to decline, on net, and prices of non-energy services remained soft."
18,"the headline consumer price index edged down in both months, as the drop in the price of crude oil since april led consumer energy prices to retrace a portion of the run-up that occurred during the nine months ending in january."
19,"at earlier stages of processing, producer prices of core intermediate materials rose moderately in may after five months of large increases."
20,inflation compensation based on treasury inflation-protected securities decreased recently in response to low readings on inflation and falling oil prices.
21,survey measures of both short- and long-term inflation expectations remained relatively stable.
22,unit labor costs continued to be restrained by weakness in hourly compensation and further gains in productivity.
23,"the employment cost index showed a moderate rise over the period, boosted by a sizable increase in benefit costs in the first quarter."
24,"the u. s. international trade deficit widened slightly in april, as nominal exports fell a bit more than nominal imports."
25,incoming data suggested that economic activity abroad continued to expand at a strong pace in the first half of the year.
