,sentence
0,"the federal open market committee authorizes and directs the federal reserve bank of new york, to the extent necessary to carry out the most recent domestic policy directive adopted at a meeting of the committee: (a) to buy or sell u. s. government securities, including securities of the federal financing bank, and securities that are direct obligations of, or fully guaranteed as to principal and interest by, any agency of the united states in the open market, from or to securities dealers and foreign and international accounts maintained at the federal reserve bank of new york, on a cash, regular, or deferred delivery basis, for the system open market account at market prices, and, for such account, to exchange maturing u. s. government and federal agency securities with the treasury or the individual agencies or to allow them to mature without replacement; (b) to buy u. s. government securities, obligations that are direct obligations of, or fully guaranteed as to principal and interest by, any agency of the united states, from dealers for the account of the system open market account under agreements for repurchase of such securities or obligations in 65 business days or less, at rates that, unless otherwise expressly authorized by the committee, shall be determined by competitive bidding, after applying reasonable limitations on the volume of agreements with individual dealers."
1,"any such adjustment shall be made in the context of the committee's discussion and decision at its most recent meeting and the committee's long-run objectives for price stability and sustainable economic growth, and shall be based on economic, financial, and monetary developments during the intermeeting period."
2,"for the purpose of providing an investment return on system holdings of foreign currencies or for the purpose of adjusting interest rates paid or received in connection with swap drawings, transactions with foreign central banks may be undertaken at non-market exchange rates."
3,"system operations in foreign currencies shall generally be directed at countering disorderly market conditions, provided that market exchange rates for the u. s. dollar reflect actions and behavior consistent with imf article iv, section 1."
4,"considerable vigor in consumer spending late last year boosted economic growth in the fourth quarter, supported by further increases in employment and income."
5,"a surge in net exports and a pickup in defense spending also raised output growth last quarter, but these factors were expected to prove largely transitory."
6,"the decline in residential construction continued to weigh on overall activity, but some indications of stabilization in the demand for homes had emerged."
7,"although a spike in energy prices lifted total consumer price inflation in december, readings on core inflation had edged lower in recent months."
8,"employment in the manufacturing and construction industries declined further, but by less than in the previous several months."
9,the unemployment rate held steady at 4.
10,"real disposable income posted solid gains in october and november and likely rose further in december, reflecting increases in wages and salaries and further declines in energy prices."
11,"although house-price appreciation appeared to have slowed further since the end of the third quarter, robust gains in equity prices likely resulted in a small rise in the ratio of household wealth to disposable income last quarter."
12,"the most timely indicators of home prices, which are not adjusted for changes in quality or the mix of homes sold, pointed to small declines."
13,"the u. s. international trade deficit narrowed again in october, primarily reflecting declines in both the price and volume of imported oil."
14,"in november, the trade deficit edged down further--to its smallest level since mid-2005--as export growth outpaced a modest increase in non-oil imports, and oil imports remained flat."
15,"economic activity in the advanced foreign economies appeared to have accelerated in the fourth quarter, supported by a broad-based firming of domestic demand and strong employment gains."
16,"in the euro area, consumer sentiment was lifted by lower unemployment, and economic growth continued at a solid pace."
17,"after contracting in the third quarter, consumption spending in japan apparently rebounded last quarter, providing significant support to economic activity."
18,"the expansion in the united kingdom's economy strengthened, likely reflecting a pickup in consumption growth."
19,output growth in canada seemed to have firmed but likely remained below trend.
20,recent economic data for the emerging-market economies pointed to some moderation in the pace of growth in the fourth quarter.
21,"in china, the most recent evidence suggested that growth had remained strong."
22,"while large fluctuations in energy prices continued to cause swings in overall consumer price inflation in recent months, readings on core inflation improved."
23,"overall consumer prices were flat in november, but turned up in december because of a surge in retail energy prices that month."
24,"still, the rise in the price index for personal consumption expenditures over the twelve months ending in december was estimated to have been noticeably less than that of the year-earlier period."
