,sentence
0,The Committee then turned to a discussion of the economic and financial outlook and the implementation of monetary policy over the intermeeting period ahead.
1,"Business inventory accumulation had been quite modest, and production and employment were expanding less rapidly."
2,"Increases in labor compensation had been somewhat larger this year, but consumer price inflation, adjusted for food and energy prices, had remained on a fairly steady trend."
3,"Private nonfarm payroll employment increased relatively rapidly in July, though at a considerably slower pace than in the second quarter."
4,"Job growth in the services industry slowed sharply, and manufacturing employment declined appreciably after having risen somewhat in the second quarter."
5,"In contrast, the expansion in employment in wholesale and retail trade picked up slightly in July, and the number of jobs in construction continued to increase at about the second-quarter pace."
6,"The average workweek for private production or nonsupervisory workers fell considerably in July, to a level a little below its average for the second quarter, and the civilian unemployment rate edged up to 5."
7,Retail sales weakened somewhat over June and July following several months of robust growth.
8,"The drop in housing starts, coupled with lower sales of new and existing homes in June (latest data available), suggested that the rise in mortgage rates was exerting a damping effect on housing demand and homebuilding activity."
9,"The nominal deficit on U. S. trade in goods and services narrowed in June, but on a quarterly average basis the deficit widened in the second quarter from its rate in the first quarter."
10,"Available information suggested that economic activity in the major foreign industrial countries continued to advance, but at an uneven pace; in Germany, activity rebounded from the contraction in the first quarter, while in Japan a considerable slowing of growth had occurred in the second quarter after very rapid expansion in the first quarter."
11,"Price inflation remained moderate on balance in June and July, with declines in energy prices essentially offsetting increases in food prices."
12,"Over a somewhat longer horizon, consumer prices for nonfood, non-energy items increased slightly less in the twelve months ended in July than in the previous twelve-month period."
13,Producer prices of finished goods other than food and energy also increased more slowly in the twelve months ended in July.
14,"In contrast, growth in labor costs had picked up."
15,The employment cost index for private industry workers advanced at a somewhat faster rate in the second quarter than in the first quarter or in the second half of 1995.
16,"The directive stated that in the context of the Committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, somewhat greater reserve restraint would be acceptable and slightly lesser reserve restraint might be acceptable during the intermeeting period."
17,The reserve conditions associated with this directive were expected to be consistent with moderate growth of M2 and M3 over coming months.
18,"With economic growth moderating and inflation quiescent, open market operations were directed toward maintaining the existing degree of pressure on reserve positions throughout the intermeeting period."
19,"The federal funds rate averaged a little higher than the level expected with an unchanged policy stance, in part because of unexpectedly high demand for reserves in late July and early August."
20,"On balance, most other short-term market interest rates declined slightly, and intermediate- and long-term rates fell somewhat more, over the intermeeting period."
21,"In the days immediately following the meeting, rates rose sharply in response to incoming data, notably the employment report for June that market participants viewed as indicating increasing pressures on economic resources and labor costs."
22,"Equity prices also exhibited considerable volatility over the period since the Committee meeting on July 2-3, with major indexes of stock prices falling steeply through late July before recouping part to most of their losses in association with the bond market rally and favorable earnings reports."
23,The flow of information suggesting a slowing in U. S. economic growth and reduced prospects for a near-term tightening of Federal Reserve policy weighed against the dollar.
24,"Much of the slowdown in the expansion of M2 was associated with an unexpected decline in demand deposits, which had grown rapidly earlier in the year."
25,"With bank credit expanding sluggishly, the funding needs of banks were modest, and the slower growth of M2 showed through to M3."
26,"The staff forecast prepared for this meeting suggested that the expansion would slow to a rate around, or perhaps a little above, the economy's estimated growth potential."
27,Consumer spending was projected to expand at a more moderate pace that would be in line with the projected increase in disposable income; the favorable effect of the earlier run-up in equity prices on household wealth and the generally ample availability of credit were expected to balance continuing consumer concerns about the adequacy of their savings and the restraining effect of high household debt burdens.
28,Homebuilding was forecast to slow somewhat in response to the backup in residential mortgage rates but to remain at a relatively high level in the context of sustained income growth and the still-favorable cash-flow affordability of home ownership.
29,Business spending on equipment and structures was projected to grow less rapidly in light of the anticipated moderate growth of sales and profits.
30,"On balance, the external sector was expected to exert a small restraining influence on economic activity over the projection period."
31,"Inflation recently had been lifted by adverse developments in energy markets and was projected to remain above the levels of recent years, given the high level of resource utilization, the effects of tight grain supplies on food prices, and a noticeable step-up in labor compensation reinforced by the legislated rise in the federal minimum wage."
