,sentence
0,Low interest rates helped to maintain a buoyant housing market and spending by both consumers and businesses was firm.
1,Available information suggested that the recent tempo of economic activity continued into the current quarter despite the restraint imparted on real incomes and consumer confidence from higher oil prices.
2,"Job growth last month was fairly widespread, although heavy hiring in the construction sector was due partly to efforts to repair damage from the four hurricanes that hit the southeastern states."
3,"However, a small decline was registered in employment in the manufacturing sector."
4,"Despite the strong increase in payroll employment, the household survey indicated a slight increase in the unemployment rate to 5."
5,"Business investment spending on equipment and software continued to expand at a rapid pace in the third quarter, supported by positive fundamentals that included robust business output, low interest rates and readily available credit, and healthy business balance sheets."
6,"The U. S. international trade deficit rose in the third quarter on average, reflecting some weakening in the growth of service exports and an increase in the price and quantity of petroleum imports."
7,"The deficit narrowed in September, however, as imports fell while exports expanded moderately."
8,"Consumer prices continued to advance at a moderate rate in recent months, although both overall and core consumer price measures rose a bit faster in the twelve months ending in September 2004 than in the year-earlier period."
9,"Expectations of near-term inflation picked up in October, consistent with the increase in energy prices."
10,The increase in the employment cost index for private compensation over the third quarter was a bit below the average pace of the last two years.
11,"In its public statement, the Committee expressed a belief that monetary policy remained accommodative even after this tightening, and judged the upside and downside risks to the attainment of both sustainable growth and price stability over the next few quarters to be roughly equal."
12,"The Committee noted its expectation that the underlying rate of inflation would continue to be low and that policy accommodation could be removed at a pace that is likely to be measured, but also stated that it would nonetheless respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability."
13,"Over subsequent weeks, however, a reference in the minutes of the August FOMC meeting to the need for ""significant cumulative tightening"" and comments by the Chairman and other FOMC members, which were read as minimizing the likely damping effect on the economy of higher energy prices, led markets to raise their expectations of forthcoming policy tightenings."
14,These expectations were boosted further by the release of the strong employment data for October.
15,"The shift in the market’s outlook for monetary policy contributed to noticeable upward pressure on short-term interest rates, and most long-term rates also moved up."
16,"In foreign exchange markets, the dollar declined appreciably, apparently in part on continuing market concerns about the financing of the U. S. current account deficit."
17,The growth of M2 was restrained in recent months by increases in its opportunity cost.
18,Recent declines in the dollar were expected to support domestic economic activity by boosting net exports.
19,"Oil prices were anticipated to decline somewhat with the repair of hurricane-related damage to oil infrastructure in the Gulf of Mexico, leading to some slowing in inflation."
20,"With the economy expected to advance over the coming year at a rate a bit above its longer-run potential, the pace of hiring should firm and the unemployment rate should edge lower."
21,"In the Committee’s discussion of current and prospective developments, the members generally expressed assessments that economic expansion in the neighborhood of the rate of growth of the economy’s potential appeared to have become even more firmly established over recent months, despite the drag from higher energy prices."
22,"Recent data and anecdotal information suggested that spending by businesses and households had been reasonably robust of late, supported by accommodative financial conditions, continuing gains in productivity, and increasing employment."
