,sentence
0,"with asset prices falling and the flow of credit to the nonfinancial sector constricted, most of the world's economies had entered what would prove to be a sharp and protracted economic downturn."
1,"second, beyond necessary measures to stabilize financial markets and banking systems, central banks moved proactively to ease monetary policy to help support their economies."
2,"initially, monetary policy was eased through the conventional means of cuts in short-term policy rates, including a coordinated rate cut in october 2008 by the federal reserve, the ecb, and other leading central banks."
3,"for example, some central banks, including the federal reserve, sought to reduce longer-term interest rates by communicating that policy rates were likely to remain low for some time."
4,"asset purchases seem to have been effective in easing financial conditions; for example, the evidence suggests that such purchases significantly lowered longer-term interest rates in both the united states and the united kingdom.2 although the efforts of central banks to stabilize the financial system and provide monetary accommodation helped set the stage for recovery, economic growth rates in the advanced economies have been relatively weak."
5,"the unemployment rate has remained close to 10 percent since mid-2009, with a substantial fraction of the unemployed out of work for six months or longer."
6,"moreover, inflation has been declining and is currently quite low, with measures of underlying inflation running close to 1 percent."
7,"although we project that economic growth will pick up and unemployment decline somewhat in the coming year, progress thus far has been disappointingly slow."
8,"in this environment, the federal open market committee (fomc) judged that additional monetary policy accommodation was needed to support the economic recovery and help ensure that inflation, over time, is at desired levels."
9,"as has been the case with more conventional monetary policy in the past, this policy action will be regularly reviewed in light of the evolving economic outlook and the committee's assessment of the effects of its policies on the economy."
10,"supervision of individual financial institutions, macroprudential monitoring, and monetary policy are mutually reinforcing undertakings, with active involvement in one sphere providing crucial information and expertise for the others."
11,"during the crisis, central banks were creative and innovative, developing programs that played a significant role in easing financial stress and supporting economic activity."
