,sentence
0,"these benefits, however, have come with a cost: distortions in the price signals that are used to allocate resources, induced excessive risk-taking, and, to limit the resultant moral hazard, greater government supervision and regulation."
1,"in so doing, intermediation contributes significantly to a more efficient allocation of real resources and, hence, to higher levels of economic activity."
2,"that is, banks were supervised by the market, with government oversight initially limited to chartering and trying to ensure at least minimum specie reserves to meet demand for repayment of banks' circulating note liabilities."
3,"brokers and other arbitrageurs soon emerged, and their evaluation of the quality of individual banks was instrumental in establishing market prices--discounts--on the notes of individual banks."
4,"in effect, congress put a limit on the ability of banks to honor currency demands above the amount that could be collateralized by these specific bank assets."
5,"the inflexibility of currency to seasonal demands, especially those associated with the harvest, put severe strains on financial centers."
6,"policymakers at the time, employing the best information and theory available to them, did not provide the needed liquidity, business annals suggest, because they feared possible adverse adjustments under the gold standard, continued distortions from speculation and, especially, inflation."
7,"scholars, with the benefit of hindsight, have suggested that an easier stance of monetary policy in 1930-32 and an aggressive use of the discount window in 1933 could have made a significant difference."
8,"mere reference to the availability of the discount window during both the savings and loan crisis and the aftermath of the 1987 stock market contraction arguably served to greatly limit real demands for liquidity at a time of potentially significant financial distress, although, in the events, the actual use of the window was modest."
9,"but, with the safety net, lower interest rates and higher credit availability are accorded riskier borrowers, benefiting speculative and riskier ventures at the expense of sounder ones."
10,"indeed, the safety net, other things being equal, as i noted earlier, facilitates the ability of riskier borrowers to translate their potential credit demands to effective control over resources, crowding out projects with higher prospective risk-adjusted returns."
11,"that is, if we retain the safety net, we ought to price and otherwise manage it so that the banking system is as close as possible to the one the market alone would provide."
12,"obviously, if premiums were fully priced, the level of insured deposits would be significantly lower."
13,uninsured counterparties must price higher or simply not deal with banking organizations that take on excessive risk.
14,"standards of living rise when the cash flows from obsolescent, low-productivity capital are employed to finance newer, cutting-edge, technologies--the process that joseph schumpeter many decades ago labeled ""creative destruction."""
