,sentence
0,"after several years of booming growth, economic indicators started sending mixed signals."
1,"while consumption growth had decelerated somewhat over the previous year, the modest slowing was consistent with the deceleration of aggregate demand necessary to better align supply and demand."
2,"moreover, the sudden drop-off in business demand, coupled with some slowing in the consumer sector, apparently caught producers off guard."
3,"at the same time, financial developments, including a stronger dollar, sharply lower equity prices, and tighter lending standards at banks and in security markets, tended to offset some of the influence of the lower federal funds rate."
4,"the weaker job market and lower stock prices also began to weigh on consumers, though to a much lesser extent."
5,"in june, president bush signed the economic growth and tax relief reconciliation act of 2001 into law."
6,"as for monetary policy, between march and june, the fomc voted to ease monetary policy four more times, bringing the cumulative reduction in the federal funds rate to 275 basis points in the first six months of the year--the most rapid reduction in the funds rate since the early 1980s."
7,the weak economic outcome despite sizable reductions in the federal funds rate has led some to question the effectiveness of monetary policy.
8,but i believe that monetary policy substantially cushioned the negative forces weighing on the economy.
9,"housing activity remained at a high level all year, as lower mortgage rates apparently offset the restraint from declines in employment, smaller gains in income, and lower levels of wealth."
10,"indeed, low interest rates have made it attractive to refinance mortgages to reduce mortgage payments, extract some home equity buildup, and pay down more expensive forms of consumer credit."
11,"even businesses, which have been feeling the pinch of lower corporate profits, have benefited from lower interest rates; aggregate interest expense has remained fairly low relative to cash flow, and businesses have moved aggressively to bolster their financial stability by locking in more-assured, longer-term sources of funds."
12,"in many ways, the mechanism that propagated the weakness last year was quite traditional: a negative demand shock led to an unwanted accumulation of inventories and to an adjustment of production."
13,"that, in turn, idled workers and fed back into even weaker demand."
14,"first, the main source of the negative hit to demand was a large shock to capital expenditures."
15,economists have conjectured that this is caused by improved technologies that allow businesses to monitor their demand more closely and manage their inventories better.
16,"current situation and near-term outlook this year, forecasters are predicting an imminent recovery, with first-half growth of more than 1-1/2 percent at an annual rate and second-half growth of almost 4 percent."
17,financial markets--which have rallied in recent weeks--appear to have priced-in an outlook at least this optimistic.
18,"some data provide support for an optimistic view: declines in payroll employment slowed in december, and initial claims for unemployment insurance remain well below their november peak."
19,"in the past few months, despite some abatement, payrolls continued to decline and the unemployment rate jumped to 5.8 percent, putting a dent in labor income."
20,"as inventory stocks approach desired levels, the mere slowing in the pace of liquidation will provide a boost to gdp growth."
21,"and when firms are confident that demand is going to pick up, the accompanying inventory re-stocking needed to meet that demand will lead to further production gains, which will provide a real jump-start to the recovery."
22,"perhaps the most notable feature of our economy in recent years, however, has been the acceleration we have experienced in productivity."
23,"with these rapid increases in productivity, business costs were well contained and the rate of price inflation was stable, despite a fall in the unemployment rate to below 4 percent."
24,"of course, over the past year, productivity growth has slowed, increasing 1-1/4 percent at an annual rate over the first three quarters of 2001."
25,"this, in itself, is remarkable, given the historical tendency of productivity growth to turn negative when the economy enters recession."
26,i believe that the reason for the good performance at this stage of the cycle is that the improvements in productivity growth that we have witnessed since the mid-1990s have been largely structural and will persist for a time.
27,"as fed economists dan sichel and steve oliner have shown, one major source of the gains in output per hour were the high and rising levels of business investment, which raised the amount of capital per worker, thereby boosting productivity."
28,"booming investment in the 1990s owed importantly to steep declines in prices of high-tech equipment, which largely reflected rapid technical progress."
29,about half a percentage point of the increase in productivity growth in the 1995-99 period can be attributed to this so-called capital deepening.
30,"moreover, businesses have reaffirmed their intentions to improve productivity by substituting cost-saving high-tech capital for labor."
31,"while there are certainly risks to the view that improvements in productivity growth will persist, i do not believe the terrorism of last fall is going to permanently harm increases in output per hour (and thus the health of the economy)."
32,"most assuredly, in the aftermath of these attacks, many businesses have been forced to redirect resources from efficiency-enhancing investment to meet greater demands for security."
33,"however, these effects will be mainly a one-time hit to the level of productivity."
34,they are not likely to change the trend growth rate of output per hour.
