,sentence
0,"the dramatic improvement in projections of the budget balance in recent years reflects, in large part, the pickup in underlying productivity growth in the u.s. economy, which has boosted corporate profits and household incomes and thereby tax receipts."
1,"in effect, we built a tax structure on the assumption that the economy would grow over time at rates around those seen from the early 1970s to the mid-1990s, and this structure has generated considerably more revenue as the economy’s underlying growth rate has risen."
2,"tight limits on spending were imposed in response to the large deficits of the 1980s and early 1990s, and defense spending was reduced following the end of the cold war."
3,both the office of management and budget and the congressional budget office have assumed that much of the accelerated productivity growth of the late 1990s is likely to be sustained through the next decade.
4,"no doubt, a period of weakness in measured productivity is likely to accompany the current slowdown in economic activity."
5,"however, there is little in the recent data to suggest that any significant alterations in these agencies’ longer-term projections of structural productivity growth might be required."
6,should we infer from these positive budget developments that unified budget deficits are no longer conceivable?
7,"were we fully accruing the benefit liabilities inferable from existing law, these retirement programs would currently be in deficit, and contingent liabilities amounting to about $10 trillion for social security alone would have been added to the current debt to the public."
8,"at that point, of course, the unified budget will be in deficit."
9,"i have long argued that paying down the national debt is beneficial for the economy: it keeps interest rates lower than they otherwise would be and frees savings to finance increases in the capital stock, thereby boosting productivity and real incomes."
10,"the decisions on how such funds should be invested by the government would necessarily be political ones, and would lead to efforts by some groups to obtain via the political process funding that they could not obtain, at least at the same price, in private markets."
11,"in fact, it is the market-driven allocation of capital and labor to their most productive uses that has fostered our recent impressive gains in productivity and encouraged inflows of capital that have enabled us to build an extraordinarily efficient capital stock despite quite modest levels of domestic savings."
12,the treasury market serves a number of useful purposes (in addition to providing many of you with profitable employment).
13,"in addition, the size and liquidity of the treasury market allow market participants to hedge interest rate risks easily and at low cost."
14,"however, given sufficient demand, it seems likely to me that you or your colleagues could produce a nearly riskless security."
15,"however, i believe that these costs are very likely to be outweighed by the benefits to the country of a higher capital stock and the resulting increases in productivity and income that appear to be the consequence of debt reduction."
16,"by itself, such diminution in the demand for u.s. dollar assets would tend to raise interest rates for u.s. borrowers and, conceivably, put downward pressure on the dollar’s exchange rate."
17,a final valuable feature of the treasury market is that it is a remarkably efficient system for funding federal government deficits.
18,"because demographic and other factors are surely likely to lead to the re-emergence of deficits in the future, one might argue that it would be best to continue to borrow at least limited amounts from time to time in order to keep the market operating, so that it will be available when it is needed again."
19,"second, the size of the market has meant that the effects of the federal reserve’s purchases on the prices of treasury securities have been minimal."
20,"even before that time, the treasury market may become less liquid, making it more difficult for the fed to make purchases without affecting market prices."
21,"as i noted earlier, demographic forces are likely to cause unified budget deficits to re-emerge at some point in the future and fresh supplies of treasury securities to be issued."
22,"the timing and extent of the re-emergence of treasury issuance will depend on underlying productivity growth and, of course, on the degree of fiscal discipline exercised by future american governments."
