,sentence
0,"in these roles, he was well aware of the challenges central banks face in their pursuit of price stability and full employment, and of the interconnections between macroeconomic stability and financial stability."
1,"these episodes took place in emerging market economies, but since then, the global financial crisis and, more recently, the euro crisis have reminded us that no economy is immune from financial instability and the adverse effects on employment, economic activity, and price stability that financial crises cause."
2,"there have also been calls, from some quarters, for a fundamental reconsideration of the goals and strategy of monetary policy."
3,today i will focus on a key question spurred by this debate: how should monetary and other policymakers balance macroprudential approaches and monetary policy in the pursuit of financial stability?
4,"in my remarks, i will argue that monetary policy faces significant limitations as a tool to promote financial stability: its effects on financial vulnerabilities, such as excessive leverage and maturity transformation, are not well understood and are less direct than a regulatory or supervisory approach; in addition, efforts to promote financial stability through adjustments in interest rates would increase the volatility of inflation and employment."
5,"i am also mindful of the potential for low interest rates to heighten the incentives of financial market participants to reach for yield and take on risk, and of the limits of macroprudential measures to address these and other financial stability concerns."
6,"accordingly, there may be times when an adjustment in monetary policy may be appropriate to ameliorate emerging risks to financial stability."
7,"because of this possibility, and because transparency enhances the effectiveness of monetary policy, it is crucial that policymakers communicate their views clearly on the risks to financial stability and how such risks influence the appropriate monetary policy stance."
8,i will conclude by briefly laying out how financial stability concerns affect my current assessment of the appropriate stance of monetary policy.
9,"balancing financial stability with price stability: lessons from the recent past when considering the connections between financial stability, price stability, and full employment, the discussion often focuses on the potential for conflicts among these objectives."
10,"but it is important to note that, in many ways, the pursuit of financial stability is complementary to the goals of price stability and full employment."
11,"a smoothly operating financial system promotes the efficient allocation of saving and investment, facilitating economic growth and employment."
12,"and price stability contributes not only to the efficient allocation of resources in the real economy, but also to reduced uncertainty and efficient pricing in financial markets, which in turn supports financial stability."
13,"despite these complementarities, monetary policy has powerful effects on risk taking."
14,"but such risk-taking can go too far, thereby contributing to fragility in the financial system.1 this possibility does not obviate the need for monetary policy to focus primarily on price stability and full employment--the costs to society in terms of deviations from price stability and full employment that would arise would likely be significant."
15,i will also discuss how these vulnerabilities might have been affected had the federal reserve tightened monetary policy in the mid-2000s to promote financial stability.
16,"during that period, policymakers--myself included--were aware that homes seemed overvalued by a number of sensible metrics and that home prices might decline, although there was disagreement about how likely such a decline was and how large it might be."
17,policymakers failed to anticipate that the reversal of the house price bubble would trigger the most significant financial crisis in the united states since the great depression because that reversal interacted with critical vulnerabilities in the financial system and in government regulation.
18,it is not uncommon to hear it suggested that the crisis could have been prevented or significantly mitigated by substantially tighter monetary policy in the mid-2000s.
19,a tighter monetary policy would not have closed the gaps in the regulatory structure that allowed some sifis and markets to escape comprehensive supervision; a tighter monetary policy would not have shifted supervisory attention to a macroprudential perspective; and a tighter monetary policy would not have increased the transparency of exotic financial instruments or ameliorated deficiencies in risk measurement and risk management within the private sector.
20,"some advocates of the view that a substantially tighter monetary policy may have helped prevent the crisis might acknowledge these points, but they might also argue that a tighter monetary policy could have limited the rise in house prices, the use of leverage within the private sector, and the excessive reliance on short-term funding, and that each of these channels would have contained--or perhaps even prevented--the worst effects of the crisis."
21,"a review of the empirical evidence suggests that the level of interest rates does influence house prices, leverage, and maturity transformation, but it is also clear that a tighter monetary policy would have been a very blunt tool: substantially mitigating the emerging financial vulnerabilities through higher interest rates would have had sizable adverse effects in terms of higher unemployment."
22,"in particular, a range of studies conclude that tighter monetary policy during the mid-2000s might have contributed to a slower rate of house price appreciation."
23,"but the magnitude of this effect would likely have been modest relative to the substantial momentum in these prices over the period; hence, a very significant tightening, with large increases in unemployment, would have been necessary to halt the housing bubble.2 such a slowing in the housing market might have constrained the rise in household leverage, as mortgage debt growth would have been slower."
24,"but the job losses and higher interest payments associated with higher interest rates would have directly weakened households' ability to repay previous debts, suggesting that a sizable tightening may have mitigated vulnerabilities in household balance sheets only modestly.3 similar mixed results would have been likely with regard to the effects of tighter monetary policy on leverage and reliance on short-term financing within the financial sector."
25,"in particular, the evidence that low interest rates contribute to increased leverage and reliance on short-term funding points toward some ability of higher interest rates to lessen these vulnerabilities, but that evidence is typically consistent with a sizable range of quantitative effects or alternative views regarding the causal channels at work.4 furthermore, vulnerabilities from excessive leverage and reliance on short-term funding in the financial sector grew rapidly through the middle of 2007, well after monetary policy had already tightened significantly relative to the accommodative policy stance of 2003 and early 2004."
