,speaker,sentence
57,CHAIRMAN POWELL,"So the tightening cycle, as you know, is a reflection of the strength of the economy."
58,CHAIRMAN POWELL,And it’s almost three years now that we’ve been gradually raising rates.
59,CHAIRMAN POWELL,"And I think the fact that we have moved quite gradually, in a way, allows us to carefully watch incoming data in the real economy and in the financial markets to see how the economy is processing higher interest rates."
60,CHAIRMAN POWELL,"And the fact that we’re moving so gradually—I think it—I think it limits the long and variable lags problem because, you know, we’re being able to raise rates and then wait and see how the economy absorbs these rate increases."
61,CHAIRMAN POWELL,"And so far, the economy has performed very well and very much in keeping with our expectations."
67,CHAIRMAN POWELL,"So we’ve been given a really important job to do on behalf of the American people by Congress, and we’ve been given the tools to do it, and my colleagues September 26, 2018 and I are focused exclusively on carrying out that mission."
68,CHAIRMAN POWELL,"We consider the best thinking, the Chairman Powell’s Press Conference FINAL best theory, and the best evidence."
69,CHAIRMAN POWELL,"We have disparate points of view, which we debate extensively and come to a perspective and try to set monetary policy to achieve maximum employment in a context of price stability."
70,CHAIRMAN POWELL,That’s what we do.
71,CHAIRMAN POWELL,We don’t consider political factors or things like that.
72,CHAIRMAN POWELL,"And so that’s who we are, that’s what we do, and that’s just the way it’s always going to be for us."
79,CHAIRMAN POWELL,Sure.
80,CHAIRMAN POWELL,"So in terms of financial markets and monetary policy, we—as we say in our statement every cycle, we do take financial conditions into consideration because financial—broader financial conditions do affect the broader economy, and they’re one of the many things that we take into account."
81,CHAIRMAN POWELL,"The part of it that we control, though, is what we do with the federal funds rate and that has—that has effects out through, you know, out through the full interest rate curve and into financial asset prices generally."
82,CHAIRMAN POWELL,"So the answer is, we take everything into account, but, you know, broader financial conditions are just one of the things that we take into account."
84,CHAIRMAN POWELL,So you’re right.
85,CHAIRMAN POWELL,"Some of—some of the participants have mostly very modest September 26, 2018 overshoots of their personal estimates of neutral a couple—three years out."
86,CHAIRMAN POWELL,"You know, it’s far Chairman Powell’s Press Conference FINAL out into the future."
87,CHAIRMAN POWELL,I think it’s hard to be confident that that’s—that that’s the way things are going to be.
88,CHAIRMAN POWELL,What we’re going to be doing as we—as we go through time is asking at every meeting whether monetary policy is set to achieve our goals.
89,CHAIRMAN POWELL,"And I think that that’s an assessment of where policy will need to be some years down the road, and I’ll leave it at that."
97,CHAIRMAN POWELL,"No, you’re right."
98,CHAIRMAN POWELL,"The Committee forecasts what they—what they show, in general, is an economy where unemployment remains in the high and middle 3s throughout the entire forecast period and inflation remains very close to 2 percent."
99,CHAIRMAN POWELL,That is what the forecast shows.
100,CHAIRMAN POWELL,"And that is based on our understanding of the way the inflation process works now and on the fact that the inflation seems to be fairly nonreactive to changes in slack— that is to say, a flat Phillips curve."
101,CHAIRMAN POWELL,And it’s just—it’s a—it’s a world of strongly anchored inflation expectations.
102,CHAIRMAN POWELL,"And that’s not just our forecast, that’s many forecasts."
103,CHAIRMAN POWELL,So that is—that is —that is the forecast.
105,CHAIRMAN POWELL,And so that really is a longer-run concept that we think the economy will return to over the longer run.
106,CHAIRMAN POWELL,"But, obviously, that longer run, you know, isn’t— it’s not creating problems in the short run for that forecast."
107,CHAIRMAN POWELL,Now let’s just admit that the inflation process has changed dramatically from where it was in the 1960s to where it is now.
108,CHAIRMAN POWELL,It’s in a good place now.
109,CHAIRMAN POWELL,"We can’t take for granted that it will remain the way it is, and, you know, we will be, of course, watching carefully."
110,CHAIRMAN POWELL,"If inflation reacts more strongly or more weakly to the strong economy, then we’ll adjust policy appropriately."
114,CHAIRMAN POWELL,"It would look very different, I think, if we didn’t raise rates."
115,CHAIRMAN POWELL,"We’re always trying to, you know, work our way between the—sort of the two—the two problems we face."
116,CHAIRMAN POWELL,"One is that if we move too quickly, we can, you know, snuff out a recovery unnecessarily, and inflation falls short of its 2 percent target."
117,CHAIRMAN POWELL,"Or if we move too slowly, we have an economy that can overheat."
118,CHAIRMAN POWELL,So we’re—that—that’s happened through history.
119,CHAIRMAN POWELL,"We don’t see any signs of that now, but we’re always trying to navigate between those two shoals."
120,CHAIRMAN POWELL,"And we think that gradually, you know, raising interest rates is the way that we kind of take both of those risks seriously."
127,CHAIRMAN POWELL,So I think one of the most important lessons from the financial crisis is really the importance of the stability of the financial system.
128,CHAIRMAN POWELL,"And so we—since the financial crisis, as you’re aware, we’ve had a major focus on building up our monitoring of financial conditions and financial stability issues."
129,CHAIRMAN POWELL,"We’ve also put in place many, many initiatives to strengthen the financial system through higher capital and better regulation, more transparency, central clearing, margins on uncleared derivatives, all kinds of things like that, which are meant to strengthen the financial system."
130,CHAIRMAN POWELL,"We’ve done many of those things, and we feel that the financial system is in a much better place."
131,CHAIRMAN POWELL,"As we look at—as we look at conditions most recently—and this was at our last meeting, and it was in our minutes for the last meeting—quarterly, we have a briefing at the FOMC, and also at the Board, of the staffs’ views on financial stability, and the staff judged the overall vulnerabilities to be moderate."
132,CHAIRMAN POWELL,"If you dig into the different aspects of that question, households or balance sheets are in good shape."
133,CHAIRMAN POWELL,"You know, employment is high, wages are rising, that sort of thing."
134,CHAIRMAN POWELL,"The banking system, as I mentioned, is—you know, much higher capital, much higher liquidity—is much stronger."
135,CHAIRMAN POWELL,"If you look at asset prices, it is true that some asset prices are in the upper range of their historical—upper reach of their historical ranges."
136,CHAIRMAN POWELL,"And then if you look at nonfinancial corporates, you get—there is the story of leverage there."
137,CHAIRMAN POWELL,"So it’s not that there aren’t any vulnerabilities, but we see them as moderate."
138,CHAIRMAN POWELL,"Now, you ask about the countercyclical capital buffer."
139,CHAIRMAN POWELL,"The countercyclical capital buffer is a tool that we added to our toolkit, I think, finally, back in 2016."
140,CHAIRMAN POWELL,We said that we would deploy it when vulnerabilities were meaningfully above normal.
141,CHAIRMAN POWELL,"We revisit that on a regular schedule, and the last time we revisited it was, I think, last year—sometime last year—and concluded that the test was not met."
142,CHAIRMAN POWELL,"As I mentioned at the last briefing, the—you know, the September 26, 2018 assessment was that vulnerabilities were moderate, but it remains a kit—a tool for our toolkit that Chairman Powell’s Press Conference FINAL we can deploy, you know, when and as we feel appropriate."
144,CHAIRMAN POWELL,"As I said, I think I’m in the camp of seeing vulnerabilities as relatively moderate."
