,speaker,sentence
0,CHAIR POWELL,"Good afternoon, and welcome."
1,CHAIR POWELL,My colleagues at the Federal Reserve and I are dedicated to serving the American people.
2,CHAIR POWELL,We do this by steadfastly pursuing the goals that Congress has given us: maximum employment and stable prices.
3,CHAIR POWELL,We’re committed to making the best decisions we can based on facts and objective analysis.
4,CHAIR POWELL,Today we decided to lower the interest rates for the third time this year.
5,CHAIR POWELL,We took this step to help keep the U.S. economy strong in the face of global developments and to provide some insurance against ongoing risks.
6,CHAIR POWELL,"As I will explain shortly, the policy adjustments we have made since last year are providing—and will continue to provide—meaningful support to the economy."
7,CHAIR POWELL,We believe that monetary policy is in a good place.
8,CHAIR POWELL,"The U.S. economy is in its 11th year of expansion, and the baseline outlook remains favorable."
9,CHAIR POWELL,The overall economy is growing at a moderate rate.
10,CHAIR POWELL,"Household spending continues to be strong, supported by a healthy job market, rising incomes, and solid consumer confidence."
11,CHAIR POWELL,"In contrast, business investment and exports remain weak, and manufacturing output has declined over the past year."
12,CHAIR POWELL,Sluggish growth abroad and trade developments have been weighing on those sectors.
13,CHAIR POWELL,"Looking ahead, we continue to expect the economy to expand at a moderate rate, reflecting solid household spending and supportive financial conditions."
14,CHAIR POWELL,The job market remains strong.
15,CHAIR POWELL,The unemployment rate has been near half-century lows for a year and a half.
16,CHAIR POWELL,The pace of job gains has eased this year but has remained solid; we had expected some slowing after last year’s strong pace.
17,CHAIR POWELL,"Participation in the labor force by people in their prime working years has been increasing, and wages have been rising, particularly for lower-paying jobs."
18,CHAIR POWELL,"People who live and work in low- and middle-income communities tell us that many who have struggled to find work are now getting opportunities to add new and better October 30, 2019 chapters to their lives."
19,CHAIR POWELL,This underscores for us the importance of sustaining the expansion so that Chair Powell’s Press Conference FINAL the strong job market reaches more of those left behind.
20,CHAIR POWELL,Inflation continues to run below our symmetric 2 percent objective.
21,CHAIR POWELL,"Over the 12 months through August, total PCE inflation was 1.4 percent and core inflation was 1.8 percent."
22,CHAIR POWELL,"Inflation pressures remain muted, and indicators of longer-term inflation expectations are at the lower end of their historic ranges."
23,CHAIR POWELL,We’re mindful that continued below-target inflation could lead to an unwelcome downward slide in long-term inflation expectations.
24,CHAIR POWELL,"However, against the backdrop of a strong economy and supportive monetary policy, we expect inflation will rise to 2 percent."
25,CHAIR POWELL,"Overall, we continue to see sustained expansion of economic activity, a strong labor market, and inflation near our symmetric 2 percent objective as most likely."
26,CHAIR POWELL,"While this has been our outlook for quite some time, our views about the path of interest rates that will best achieve these outcomes have changed significantly over the past year."
27,CHAIR POWELL,"As I mentioned, weakness in global growth and trade developments have weighed on the economy and pose ongoing risks."
28,CHAIR POWELL,"These factors, in conjunction with muted inflation pressures, have led us to lower our assessment of the appropriate level of the federal funds rate over the past year."
29,CHAIR POWELL,"In both July and September, we reduced the target rate [range] for the federal funds rate by ¼ percentage point, and we did so again today, bringing the range to 1½ to 1¾ percent."
30,CHAIR POWELL,The policy adjustments we’ve made to date will continue to provide significant support for the economy.
31,CHAIR POWELL,"Since monetary policy operates with a lag, the full effects of these adjustments on economic growth, the job market, and inflation will be realized over time."
32,CHAIR POWELL,"We see the current stance of monetary policy as likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook of moderate economic growth, a strong labor market, and inflation near our symmetric 2 percent objective."
33,CHAIR POWELL,"We believe monetary policy October 30, 2019 is in a good place to achieve these outcomes."
34,CHAIR POWELL,"Looking ahead, we’ll be monitoring the effects of Chair Powell’s Press Conference FINAL our policy actions, along with other information bearing on the outlook, as we assess the appropriate path of the target range for the fed funds rate."
35,CHAIR POWELL,"Of course, if developments emerge that cause a material reassessment of our outlook, we would respond accordingly."
36,CHAIR POWELL,Policy is not on a preset course.
37,CHAIR POWELL,Let me end with a few words about our technical monetary policy operations.
38,CHAIR POWELL,"In January, we made the key decision to continue to implement monetary policy in an ample-reserves regime."
39,CHAIR POWELL,"In that operating framework, we control the federal funds rate primarily by setting our administered rates, not through frequent interventions to actively manage the supply of reserves."
40,CHAIR POWELL,"In the transition to the efficient and effective level of reserves in this regime, we slowed the gradual decline in our balance sheet in March and we stopped it in July."
41,CHAIR POWELL,"In response to the funding pressures in money markets that emerged in mid-September, we concluded that it would be appropriate to maintain, over a time—over time, a level of reserve balances at or above the level that prevailed in early September of this year."
42,CHAIR POWELL,"To achieve this ample level, we announced on October 11 that we would purchase Treasury bills at least into the second quarter of next year as well as continue temporary open market operations at least through January."
43,CHAIR POWELL,These actions are purely technical measures to support the effective implementation of monetary policy as we continue to learn about the appropriate level of reserves.
44,CHAIR POWELL,They do not represent a change in the stance of monetary policy.
45,CHAIR POWELL,"In particular, our Treasury bill purchases should not be confused with the large-scale asset purchase programs that we deployed after the financial crisis."
46,CHAIR POWELL,"In those programs, we purchased longer-term securities to put downward pressure on longer-term interest rates and ease broader financial conditions."
47,CHAIR POWELL,"In contrast, October 30, 2019 increasing the supply of reserves by purchasing Treasury bills only alters the mix of short-term Chair Powell’s Press Conference FINAL assets held by the public and should not materially affect demand and supply for longer-term securities or financial conditions more broadly."
48,CHAIR POWELL,Thank you.
49,CHAIR POWELL,I will be happy to take your questions.
54,CHAIR POWELL,"So what we’ve said, to repeat, is that we see the current stance of policy as “likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook.” And we say that, really, because both of the performance of the economy and the stance of policy."
55,CHAIR POWELL,"The performance of the economy has been—particularly the household sector—has been strong, has been resilient, with low unemployment, attractive levels of job creation, wages moving up, labor force participation moving up, household confidence, and solid gains in many measures of consumer spending."
56,CHAIR POWELL,"The manufacturing sector, particularly manufacturing, and also investment and exports have been weaker."
57,CHAIR POWELL,"But, overall, we’ve seen moderate growth, a strong labor market, inflation moving up."
58,CHAIR POWELL,We see the outlook as for more of the same.
59,CHAIR POWELL,"We also see the risks to the outlook as perhaps having moved in a positive direction over the course of this intermeeting period, although, some remain—some things remain to be seen."
60,CHAIR POWELL,So that’s the economy.
61,CHAIR POWELL,"Turning to policy, we’ve moved the stance of policy over the course of the year to a more accommodative stance, and, after the cuts at the last three meetings, the federal funds rate is now October 30, 2019 in a range between 1½ and 1¾ percent."
62,CHAIR POWELL,We feel that policy is well positioned to support the Chair Powell’s Press Conference FINAL outlook that I described.
63,CHAIR POWELL,"So you asked what it would take, you know, to move, and, as I mentioned, we’re going to be watching all factors, And if developments emerge that cause a material reassessment of our outlook, we would respond accordingly."
64,CHAIR POWELL,But that’s what it would take: a material reassessment of our outlook.
66,CHAIR POWELL,"We’ll be looking at a full range of data about the economy and about the risks to the outlook, and I’ve given you a sense of what our outlook is."
67,CHAIR POWELL,"It’s for moderate growth, a strong labor market, and inflation near our 2 percent objective."
68,CHAIR POWELL,"If something happens to cause us to materially reassess that outlook, that’s what would cause us to change our views on the appropriate stance of policy."
73,CHAIR POWELL,"So, in terms of risks, what I was referring to there—the principal risks that we’ve been monitoring have been, really, slowing global growth and trade policy developments as well as muted inflation pressure."
74,CHAIR POWELL,So I was really referring there to trade developments.
75,CHAIR POWELL,"We have that phase-one potential agreement with China, which, if signed and put into effect, could have the effect of reducing trade tensions and reducing uncertainty, and that would bode well, we think, for business confidence and perhaps activity over time."
76,CHAIR POWELL,"So that has October 30, 2019 the potential for being an improvement in the risk picture."
77,CHAIR POWELL,"Brexit, I would say, as well—it Chair Powell’s Press Conference FINAL appears that the risk of a no-deal Brexit seems to have materially declined."
78,CHAIR POWELL,"I think on both situations there’s plenty of risk left, but I’d have to say that the risks seem to have subsided."
79,CHAIR POWELL,"You asked about business investment, and that’s right."
80,CHAIR POWELL,"Business investment has been weak, and today’s reading was weak as well."
81,CHAIR POWELL,And it was broad across equipment and other parts of—all parts of business fixed investment were weak.
82,CHAIR POWELL,"That’s consistent with what we’ve seen, but that’s the economy we’ve had this year."
83,CHAIR POWELL,"What we’ve had is an economy where the consumer is really driving growth, and, you know, personal consumption expenditures were almost 3 percent in this quarter—in this first reading for the quarter."
84,CHAIR POWELL,"So, overall, we see the economy as having been resilient to the—you know, the winds that have been blowing this year."
89,CHAIR POWELL,"Yes, so that is a risk."
90,CHAIR POWELL,"That’s a risk that we’ve been monitoring, but we don’t see it yet."
91,CHAIR POWELL,We don’t see rising initial claims or layoffs or anything like that.
92,CHAIR POWELL,"But the risk you mention of the weakness in the manufacturing—in export investment, business investment, parts of the economy getting into the consumer side of the economy, we really don’t see that."
93,CHAIR POWELL,What we continue to see is good job creation.
94,CHAIR POWELL,"Unemployment has declined again, and the household survey is now at a 50-year low—has been, you know, very close to 50-year lows for 18 months now."
95,CHAIR POWELL,So it’s very positive.
96,CHAIR POWELL,"The consumer-facing companies that we talk to in our vast network of contacts report, you know, that consumers are doing well and are focused on, October 30, 2019 you know, the good job market and rising incomes, and that’s their principle focus."
97,CHAIR POWELL,"So that is the Chair Powell’s Press Conference FINAL thing that’s pushing the economy forward, and it doesn’t seem to have been affected so far by weakness in the other areas."
104,CHAIR POWELL,"So the reason why we raised interest rates is because—generally is because we see inflation as moving up—or, in danger of moving up significantly, and we really don’t see that now."
105,CHAIR POWELL,Inflation moved down in the first quarter of this year.
106,CHAIR POWELL,"We thought that that was due, to some extent, to idiosyncratic or transient factors."
107,CHAIR POWELL,"That turns out to have been the case, so it’s moved back up."
108,CHAIR POWELL,But it seems to be settling in below 2 percent.
109,CHAIR POWELL,So we really don’t see that risk.
110,CHAIR POWELL,"And inflation expectations have also kind of moved down and sideways—both surveys and market based over the course of this—of, really, the recent months."
111,CHAIR POWELL,"And, you know, we think that inflation expectations are very important in driving actual inflation, and we’re strongly committed to achieving our 2 percent inflation objective on a symmetric basis."
112,CHAIR POWELL,We think it’s essential that we do that.
113,CHAIR POWELL,So we’re not thinking about raising rates right now.
114,CHAIR POWELL,There obviously will be times in the future where that will be appropriate.
115,CHAIR POWELL,"What we’re really thinking now is that our current stance October 30, 2019 of policy is appropriate and will remain so as long as the outlook is broadly in keeping with our Chair Powell’s Press Conference FINAL expectations."
123,CHAIR POWELL,"So we think that the current stance of policy is likely to remain appropriate—likely to remain appropriate—as long as incoming information about the economy is broadly consistent with our outlook, which is a positive one of moderate economic growth, strong labor market, and inflation moving close to 2 percent."
124,CHAIR POWELL,That’s—so that’s what we’re saying about that.
125,CHAIR POWELL,"We also say, of course, if developments emerge that cause a material reassessment of that outlook, we would respond accordingly."
126,CHAIR POWELL,So that’s really how we’re thinking about it.
127,CHAIR POWELL,I can’t point to one data point or one thing that would change our minds.
128,CHAIR POWELL,"It really—it would be a reassessment of—a material reassessment of our overall outlook, which is what I described."
130,CHAIR POWELL,"Well, there’s—there’s a lot of, you know, practice and science and history, in terms of how much you put in the actual postmeeting statement as opposed to what we say in the press conference statement."
131,CHAIR POWELL,"It’s a—you know, it’s a judgment call."
132,CHAIR POWELL,"You know, I’m saying it now, so— STEVE LIESMAN."
133,CHAIR POWELL,Thanks.
137,CHAIR POWELL,"So, as I mentioned, we do think that inflation expectations are—they’re quite essential, quite central in our framework of how we think about inflation."
138,CHAIR POWELL,We need them to be anchored in a level—at a level that’s consistent with our symmetric 2 percent inflation goal.
139,CHAIR POWELL,And we think that we need to conduct policy in a way that supports that outcome.
140,CHAIR POWELL,That’s what we’re doing now.
141,CHAIR POWELL,"We’re also, as part of our review, looking at potential innovations, changes to the way we think about things, changes to the framework that would lead us—that would be more supportive of achieving inflation on a 2 percent—on a symmetric 2 percent basis over time."
142,CHAIR POWELL,That’s at the very heart of what we’re doing in the review.
143,CHAIR POWELL,It’s too early to be announcing decisions.
144,CHAIR POWELL,We haven’t made them yet.
145,CHAIR POWELL,But we’re in the middle of thinking about ways that we can make that symmetric 2 percent inflation objective more credible by achieving symmetric 2 percent inflation.
146,CHAIR POWELL,"And it comes down to using your policy tools to achieve 2 percent inflation, and that is the—that is the thing that must happen for credibility in this area."
147,CHAIR POWELL,So we’re committed to doing that.
149,CHAIR POWELL,"So we’re in the middle—we’re really quite in the middle of it now, and my thinking is still that it will run into the middle of next year."
150,CHAIR POWELL,"These are—you know, these changes to monetary policy frameworks happen—they don’t happen really quickly, let’s say."
151,CHAIR POWELL,Inflation targeting took many years to evolve.
152,CHAIR POWELL,I don’t think we’ll take many years here.
153,CHAIR POWELL,"I think we’ll wrap it up around the middle of next year, would be my guess."
154,CHAIR POWELL,I have some confidence in that.
160,CHAIR POWELL,Rate hikes for next year.
166,CHAIR POWELL,Yes.
167,CHAIR POWELL,"So I would just say that a—if we were to have a sustained reduction in trade tensions—broad reduction in trade tensions and a resolution of these uncertainties, that would bode well for business sentiment, which is—trade uncertainty’s been weighing on business sentiment, in our judgment, in the judgment of many analysts."
168,CHAIR POWELL,"And, October 30, 2019 ultimately, it could affect activity."
169,CHAIR POWELL,"I wouldn’t expect that the effects on activity or confidence Chair Powell’s Press Conference FINAL would be immediate, or—would there be immediate effects in economic activity."
170,CHAIR POWELL,"I think it would take some time after the recent things, but I do think it would be quite positive over time."
171,CHAIR POWELL,You come back to the question of raising rates.
172,CHAIR POWELL,So that’s really about inflation.
173,CHAIR POWELL,"And you know, we haven’t yet—we just touched 2 percent core inflation, to pick one measure—just touched it for a few months, and then we’ve fallen back."
174,CHAIR POWELL,So I think we would need to see a really significant move up in inflation that’s persistent before we would consider raising rates to address inflation concerns.
179,CHAIR POWELL,"Well, I think we’re doing that."
180,CHAIR POWELL,"I mean, I think we’re keeping—I think we’ve made very substantial adjustments to policy over the course of this year, if you think about it."
181,CHAIR POWELL,"We entered the year expecting some further rate increases, we went to “patient,” now we’ve done three rate cuts."
182,CHAIR POWELL,"It’s a very substantial shift, and the effects of it will be felt over time."
183,CHAIR POWELL,"So we feel like those shifts are appropriate to support exactly the outcomes you’re talking about, which are a continuing strong labor market, continued strong job creation."
186,CHAIR POWELL,"Well, no."
187,CHAIR POWELL,It was—so we’ve said it was about three things.
188,CHAIR POWELL,It’s been about the slowing global economy.
189,CHAIR POWELL,You have a synchronized slowdown in economic activity around the globe.
190,CHAIR POWELL,"It’s been building for just about 18 months now, and that’s having an effect on U.S. activity."
191,CHAIR POWELL,"That’s part of the weakness in manufacturing, export, and business investment."
192,CHAIR POWELL,"We’ve had trade policy uncertainty, which we think also has been weighing on activity and investment and sentiment."
193,CHAIR POWELL,"And we’ve had inflation, which—we’ve called out the risk of inflation running persistently below 2 percent as a risk that we needed to address."
194,CHAIR POWELL,So we’ve been doing it to address all of those things.
195,CHAIR POWELL,"I would say, the gains in the labor market have been great to see."
196,CHAIR POWELL,It’s particularly the fact that people at the lower end of wages have been getting most of the benefit of most of the wage gains in the last couple of years.
197,CHAIR POWELL,That’s a great thing.
198,CHAIR POWELL,"You know from our Fed Listens events that we’ve been hearing from people who live and work in low- and moderate-income communities that this is the best labor market they’ve seen in their lifetime, things like that."
199,CHAIR POWELL,"And, by the way, that there’s also—there’s still so many people who are, you know, still not in the labor market yet, and that—there’s just a lot more good that can be done there."
200,CHAIR POWELL,"At the same time, we have to think about the whole economy, and—but, yes, those gains are very positive."
201,CHAIR POWELL,We do call them out.
202,CHAIR POWELL,"They are a reason for us to want to extend the expansion, and that’s something we’re committed to doing."
207,CHAIR POWELL,Okay.
208,CHAIR POWELL,"So, on the “how long,” what we’ve said is that we expect bill purchases to continue at least into the second quarter of next year."
209,CHAIR POWELL,"And we’ve said that temporary open market operations we expect to continue, I think, at least until the end of January, I believe."
210,CHAIR POWELL,"Yes, through January."
211,CHAIR POWELL,"In terms of the causes, so there’s a lot of forensic work going on by us and by market participants and all kinds of analysts."
212,CHAIR POWELL,"And, you know, one thing is that we think we need reserves to be back up to the level—the minimum level of reserves that we can have during the various fluctuations that you see with reserves is something like $1.45 trillion or a little higher, and that’s the level in early September."
213,CHAIR POWELL,So we’re going to be adding reserves to get back to that place.
214,CHAIR POWELL,That’s one thing.
215,CHAIR POWELL,There are also—it may be—one thing that was surprising about the episode was that liquidity didn’t seem to flow as one might have expected.
216,CHAIR POWELL,"We had surveyed the banks carefully about what was their lowest comfortable level of reserves, and many banks that were well above that level did not take that excess cash and invest it in the repo market at much higher rates."
217,CHAIR POWELL,"They just—they didn’t do that, and so the question is why."
219,CHAIR POWELL,So we’re looking at those.
220,CHAIR POWELL,"Those are not things that can happen that can really address the situation in the short term, but those are a range of things that we’re looking at as well."
226,CHAIR POWELL,"Honestly, it’s really the—there isn’t any one factor."
227,CHAIR POWELL,"It’s really the whole range of economic data and also what we see as—about our stance of policy, which we believe is the appropriate stance."
228,CHAIR POWELL,It’s really both of those things.
229,CHAIR POWELL,"Again, if you look at the performance of the economy through this, the consumer sector has been quite resilient."
230,CHAIR POWELL,Witness today’s GDP report.
231,CHAIR POWELL,"And it’s just—again, all the things I went through earlier suggest that that sector continues to be strong."
232,CHAIR POWELL,"We know that the manufacturing, investment, trade, export sector has been weak."
233,CHAIR POWELL,"That continues, but nonetheless, overall, we’ve got an economy that is showing moderate growth, and we think that today’s setting—we’re now at 1.5 to 1.75 percent."
234,CHAIR POWELL,"That is, we believe, an accommodative level and a level that will support that outlook that we have."
237,CHAIR POWELL,"You know, we don’t see any evidence of that."
238,CHAIR POWELL,What we see is—what we see is that the consumer sector continues strong.
239,CHAIR POWELL,"Again, low initial claims."
240,CHAIR POWELL,"It’s all—the data we monitor, obviously, is a very broad range of data."
241,CHAIR POWELL,"We also see now, I think, more clearly the effects of more accommodative monetary policy on various kinds of consumer activity."
242,CHAIR POWELL,You’re seeing strong durable goods sales.
243,CHAIR POWELL,"You’re seeing housing now contributing to growth for the first time in a while—two-tenths, I think, this quarter."
244,CHAIR POWELL,"And you’re seeing retail sales—the retail October 30, 2019 sales number, the PCE number, as I mentioned, in today’s release was 2.9 percent."
245,CHAIR POWELL,So that’s Chair Powell’s Press Conference FINAL good.
246,CHAIR POWELL,"And I think, more broadly, monetary policy is also supporting household spending and home buying by keeping the labor market strong, keeping workers’ incomes rising, and keeping consumer confidence at high levels, where it currently is."
250,CHAIR POWELL,"Well, I think monetary policy works through the channels that we understand."
251,CHAIR POWELL,"I think the effects are clear in what we think of as the interest-rate-sensitive sectors, which are the ones—some of the ones that I mentioned."
252,CHAIR POWELL,"I think it’s—I think interest rates are a factor in business investment, but I don’t believe they’re the main factor and main driver."
253,CHAIR POWELL,"And I think, you know, what one would like to see for—to support greater manufacturing activity, business investment, and exports would be a global recovery."
254,CHAIR POWELL,"And, you know, there’s a lot of monetary policy accommodation and some fiscal accommodation, maybe, in the global economy now."
255,CHAIR POWELL,"Not here, but perhaps elsewhere."
256,CHAIR POWELL,And that should turn—that should support growth in the global economy.
257,CHAIR POWELL,"And, again, resolution of our trade issues would contribute to that over time as well."
264,CHAIR POWELL,"We think—we think that Fed Listens has been a great success for us, and I’m sure we will repeat it."
265,CHAIR POWELL,"In fact, I would imagine that this entire monetary policy review will become institutionalized and be done every few years."
266,CHAIR POWELL,"I would say this: In the Beige Book, we talk to educational institutions, health-care institutions, community groups, labor groups—it’s not just businesses."
267,CHAIR POWELL,"And, by the way, all of those groups are also represented on the boards of our regional banks."
268,CHAIR POWELL,We also meet quite regularly at the Board with representatives of low- and moderate-income communities.
269,CHAIR POWELL,"And so we’re—we’re very conscious of—you know, that we represent all Americans, and we need to hear all of their perspectives."
270,CHAIR POWELL,"That’s why we—you know, we talk about how low the unemployment rate is, the aggregate unemployment, but we also talk about groups that haven’t experienced that yet."
271,CHAIR POWELL,And so we’re—we try to remind ourselves that we serve everybody.
275,CHAIR POWELL,"So that is—our outlook overall is for moderate growth of around 2 percent, which is pretty close to trend."
276,CHAIR POWELL,"That’s our outlook: could be better, could be worse."
277,CHAIR POWELL,"You know, it’s—you never say you’ve achieved it."
278,CHAIR POWELL,But that’s our outlook.
279,CHAIR POWELL,And we feel like our current stance of policy is appropriate as long as that remains broadly our outlook.
283,CHAIR POWELL,Yes.
284,CHAIR POWELL,I think this seems to be the right movement.
285,CHAIR POWELL,"You can see that we had our usual range of perspectives, range of views."
286,CHAIR POWELL,"But, in the end, we had a strong vote in favor of this action."
287,CHAIR POWELL,I strongly believe it’s the right action.
288,CHAIR POWELL,I strongly believe that the actions we’ve taken over the course of this year have been the right things to do for this economy and are supporting economic growth and will do so in the future.
289,CHAIR POWELL,So— GREG ROBB.
290,CHAIR POWELL,Thank you.
291,CHAIR POWELL,Greg Robb from MarketWatch.
292,CHAIR POWELL,"Chairman Powell, it seems that the differences all across the country—that different regions are reacting differently to the China trade, and some regions are much weaker than others."
293,CHAIR POWELL,"There’s this urban versus rural divide, the coasts versus the middle of the country."
295,CHAIR POWELL,"You know, it’s—monetary policy is famously a blunt instrument."
296,CHAIR POWELL,"So we can’t—obviously, we can’t raise interest rates some place and lower them other places."
297,CHAIR POWELL,But we’re very conscious.
298,CHAIR POWELL,"The first thing to know is to understand that, that—and we’ve called that out, as you, I’m sure, know, in one of our recent Monetary Policy Reports to Congress."
299,CHAIR POWELL,"The sort of rural–urban disparities in—you know, in employment, in growth, in all kinds of things, in health outcomes."
300,CHAIR POWELL,"You know, it’s a big and growing difference—set of differences."
301,CHAIR POWELL,"We don’t really have, you know, the tools to address that, but we call things out that are important to our economy that we may not be—that we might have—may not have the right tools to best address October 30, 2019 them, but we call them out because, you know, we’re spending all of our time with the economy, Chair Powell’s Press Conference FINAL and those are issues that maybe have to be addressed by legislatures and, you know, by—at the national level and at the state level."
306,CHAIR POWELL,I’m not asking Congress to do anything right now.
307,CHAIR POWELL,I sometimes have noted that it would be appropriate.
308,CHAIR POWELL,"Let me put it this way: We do what we do, which is, we’re assigned a job, which is maximum employment and stable prices."
309,CHAIR POWELL,We do financial stability.
310,CHAIR POWELL,We do bank regulation.
311,CHAIR POWELL,"The U.S. economy faces significant longer-term challenges around potential growth, around labor force participation, around disparities of income and wealth, around all kinds of things."
312,CHAIR POWELL,"And those are issues for Congress, and they’re not issues for us."
