,speaker,sentence
0,CHAIR YELLEN,Good afternoon.
1,CHAIR YELLEN,"Today, the Federal Open Market Committee maintained the target range for the federal funds rate at ¼ to ½ percent."
2,CHAIR YELLEN,This accommodative policy should support further progress toward our statutory objectives of maximum employment and price stability.
3,CHAIR YELLEN,"Based on the economic outlook, the Committee continues to anticipate that gradual increases in the federal funds rate over time are likely to be consistent with achieving and maintaining our objectives."
4,CHAIR YELLEN,"However, recent economic indicators have been mixed, suggesting that our cautious approach to adjusting monetary policy remains appropriate."
5,CHAIR YELLEN,"As always, our policy is not on a preset course, and if the economic outlook shifts, the appropriate path of policy will shift correspondingly."
6,CHAIR YELLEN,"I will come back to our policy decision, but first I will review recent economic developments and the outlook."
7,CHAIR YELLEN,Economic growth was relatively weak late last year and early this year.
8,CHAIR YELLEN,Some of the factors weighing on growth were expected.
9,CHAIR YELLEN,"For example, exports have been soft, reflecting subdued foreign demand and the earlier appreciation of the dollar."
10,CHAIR YELLEN,"Also, activity in the energy sector has obviously been hard hit by the steep drop in oil prices since mid-2014."
11,CHAIR YELLEN,But the slowdown in other parts of the economy was not expected.
12,CHAIR YELLEN,"In particular, business investment outside of energy was particularly weak during the winter and appears to have remained so into the spring."
13,CHAIR YELLEN,"In addition, growth in household spending slowed noticeably early in the year despite solid increases in household income as well as relatively high levels of consumer sentiment and wealth."
14,CHAIR YELLEN,"Fortunately, the first-quarter slowdown in household spending appears to have been temporary; indicators for the second quarter have so far pointed to a sizable rebound."
15,CHAIR YELLEN,This recovery is a key factor supporting the Committee’s expectation that overall economic activity will expand at a moderate pace over the next few years.
16,CHAIR YELLEN,"Despite lackluster economic growth, the job market continued to improve early in the year."
17,CHAIR YELLEN,"During the first quarter, job gains averaged nearly 200,000 per month, just a bit slower than last year’s pace."
18,CHAIR YELLEN,And the unemployment rate held near 5 percent even though notably more people were actively looking for work.
19,CHAIR YELLEN,"However, more recently the pace of improvement in the labor market appears to have slowed markedly."
20,CHAIR YELLEN,"Job gains in April and May are estimated to have averaged only about 80,000 per month."
21,CHAIR YELLEN,"And while the unemployment rate fell to 4.7 percent in May, that decline occurred because fewer people reported that they were actively seeking work."
22,CHAIR YELLEN,A broader measure of unemployment that includes individuals who want and are available to work but have not searched recently as well as people who are working part time but would rather work full time has flattened out.
23,CHAIR YELLEN,"On a more positive note, average hourly earnings increased 2½ percent over the past 12 months—a bit faster than in earlier years and a welcome indication that wage growth may finally be picking up."
24,CHAIR YELLEN,"Although recent labor market data have, on balance, been disappointing, it’s important not to overreact to one or two monthly readings."
25,CHAIR YELLEN,The Committee continues to expect that the labor market will strengthen further over the next few years.
26,CHAIR YELLEN,"That said, we will be watching the job market carefully."
27,CHAIR YELLEN,Ongoing economic growth and an improving labor market underpin our inflation outlook.
28,CHAIR YELLEN,"Overall consumer price inflation—as measured by the price index for personal consumption expenditures—was about 1 percent over the 12 months ending in April, still short of our 2 percent objective."
29,CHAIR YELLEN,Much of this shortfall continues to reflect the effects of earlier declines in energy prices and lower prices for imports.
30,CHAIR YELLEN,"Core inflation, which excludes energy and food prices, has been running close to 1½ percent."
31,CHAIR YELLEN,"As the transitory influences holding down inflation fade, and as the labor market strengthens further, the Committee expects inflation to rise to 2 percent over the next two to three years."
32,CHAIR YELLEN,Our inflation outlook also rests importantly on our judgment that longer-run inflation expectations remain reasonably well anchored.
33,CHAIR YELLEN,"However, we can’t take the stability of longer-run inflation expectations for granted."
34,CHAIR YELLEN,"While most survey measures of longer-run inflation expectations show little change, on balance, in recent months, financial market measures of inflation compensation have declined."
35,CHAIR YELLEN,Movements in these indicators reflect many factors and therefore may not provide an accurate reading on changes in the inflation expectations that are most relevant for wages and prices.
36,CHAIR YELLEN,"Nonetheless, in considering future policy decisions, we will continue to carefully monitor actual and expected progress toward our inflation goal."
37,CHAIR YELLEN,Let me now turn to the individual economic projections submitted for this meeting by FOMC participants.
38,CHAIR YELLEN,"As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy, which, in turn, depends on each person’s assessment of the multitude of factors that shape the outlook."
39,CHAIR YELLEN,Participants’ projections for growth of inflation-adjusted gross domestic product are slightly lower in the near term than the projections made for the March FOMC meeting.
