,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,I want to begin by acknowledging the tremendous hardship the Ukrainian people are suffering as a result of Russia’s invasion.
2,CHAIR POWELL,The human toll is tragic.
3,CHAIR POWELL,The financial and economic implications for the global economy and the U.S. economy are highly uncertain.
4,CHAIR POWELL,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us: maximum employment and price stability."
5,CHAIR POWELL,"Today, in support of these goals, the FOMC raised its policy interest rate by ¼ percentage point."
6,CHAIR POWELL,"The economy is very strong, and against the backdrop of an extremely tight labor market and high inflation, the Committee anticipates that ongoing increases in the target range for the federal funds rate will be appropriate."
7,CHAIR POWELL,"In addition, we expect to begin reducing the size of our balance sheet at a coming meeting."
8,CHAIR POWELL,"Economic activity expanded at a robust 5½ percent pace last year, reflecting progress on vaccinations and the reopening of the economy, fiscal and monetary policy support, and the healthy financial positions of households and businesses."
9,CHAIR POWELL,The rapid spread of the Omicron variant led to some slowing in economic activity early this year.
10,CHAIR POWELL,"But cases have declined sharply since mid-January, and the slowdown seems to have been mild and brief."
11,CHAIR POWELL,"Although the invasion of Ukraine and related events represent a downside risk to the outlook for economic activity, FOMC participants continue to foresee solid growth."
12,CHAIR POWELL,"As shown in our Summary of Economic Projections, the median projection for real GDP growth stands at 2.8 percent this year, 2.2 percent next year, and 2 percent in 2024."
13,CHAIR POWELL,The labor market has continued to strengthen and is extremely tight.
14,CHAIR POWELL,"Over the first two months of the year, employment rose by more than a million jobs."
15,CHAIR POWELL,"In February, the March 16, 2022 unemployment rate hit a post-pandemic low of 3.8 percent, a bit below the median of Committee Chair Powell’s Press Conference FINAL participants’ estimates of its longer-run normal level."
16,CHAIR POWELL,"The improvements in labor market conditions have been widespread, including for workers at the lower end of the wage distribution as well as for African Americans and Hispanics."
17,CHAIR POWELL,"Labor demand is very strong, and while labor force participation has increased somewhat, labor supply remains subdued."
18,CHAIR POWELL,"As a result, employers are having difficulties filling job openings, and wages are rising at their fastest pace in many years."
19,CHAIR POWELL,"FOMC participants expect the labor market to remain strong, with the median projection for the unemployment rate declining to 3.5 percent by the end of this year and remaining near that level thereafter."
20,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
21,CHAIR POWELL,"Aggregate demand is strong, and bottlenecks and supply constraints are limiting how quickly production can respond."
22,CHAIR POWELL,"These supply disruptions have been larger, and longer lasting, than anticipated, exacerbated by waves of the virus here and abroad, and price pressures have spread to a broader range of goods and services."
23,CHAIR POWELL,"Additionally, higher energy prices are driving up overall inflation."
24,CHAIR POWELL,The surge in prices of crude oil and other commodities that resulted from Russia’s invasion of Ukraine will put additional upward pressure on near-term inflation here at home.
25,CHAIR POWELL,"We understand that high inflation imposes significant hardship, especially on those least able to meet the higher costs of essentials like food, housing, and transportation."
26,CHAIR POWELL,We know that the best thing we can do to support a strong labor market is to promote a long expansion—and that is only possible in an environment of price stability.
27,CHAIR POWELL,"As we emphasize in our policy statement, with appropriate firming in the stance of monetary policy, we expect inflation to return to 2 percent while the labor market remains strong."
28,CHAIR POWELL,"That said, inflation is likely to take longer to return to our price-stability goal than previously expected."
29,CHAIR POWELL,"The median inflation March 16, 2022 projection of FOMC participants is 4.3 percent this year and falls to 2.7 percent next year and 2.3 Chair Powell’s Press Conference FINAL percent in 2024; this trajectory is notably higher than projected in December, and participants continue to see risks as weighted to the upside."
30,CHAIR POWELL,The Fed’s monetary policy actions have been guided by our mandate to promote maximum employment and stable prices for the American people.
31,CHAIR POWELL,"Our policy has been adapting to the evolving economic environment, and it will continue to do so."
32,CHAIR POWELL,"As I noted, the Committee raised the target range for the federal funds rate by ¼ percentage point and anticipates that ongoing increases in the target range will be appropriate."
33,CHAIR POWELL,The median projection for the appropriate level of the federal funds rate is 1.9 percent at the end of this year—a full percentage point higher than projected in December.
34,CHAIR POWELL,"Over the following two years, the median projection is 2.8 percent—somewhat higher than the median estimate of its longer-run value."
35,CHAIR POWELL,"Of course, these projections do not represent a Committee decision or plan, and no one knows with any certainty where the economy will be a year or more from now."
36,CHAIR POWELL,Reducing the size of our balance sheet will also play an important role in firming the stance of monetary policy.
37,CHAIR POWELL,"At our meeting that wrapped up today, the Committee made good progress on a plan for reducing our securities holdings, and we expect to announce the beginning of balance sheet reduction at a coming meeting."
38,CHAIR POWELL,"In making decisions about interest rates and the balance sheet, we will be mindful of the broader context in markets and in the economy, and we will use our tools to support financial and macroeconomic stability."
39,CHAIR POWELL,"As we noted in our policy statement, the implications of Russia’s invasion of Ukraine for the U.S. economy are highly uncertain."
40,CHAIR POWELL,"In addition to the direct effects from higher global oil and commodity prices, the invasion and related events may restrain economic activity abroad and further disrupt supply chains—which would create spillovers to the U.S. economy through trade March 16, 2022 and other channels."
41,CHAIR POWELL,"The volatility in financial markets, particularly if sustained, could also act to Chair Powell’s Press Conference FINAL tighten credit conditions and affect the real economy."
42,CHAIR POWELL,Making appropriate monetary policy in this environment requires a recognition that the economy often evolves in unexpected ways.
43,CHAIR POWELL,We will need to be nimble in responding to incoming data and the evolving outlook.
44,CHAIR POWELL,And we will strive to avoid adding uncertainty to what is already an extraordinarily challenging and uncertain moment.
45,CHAIR POWELL,We are attentive to the risks of potential further upward pressure on inflation and inflation expectations.
46,CHAIR POWELL,The Committee is determined to take the measures necessary to restore price stability.
47,CHAIR POWELL,The American economy is very strong and well positioned to handle tighter monetary policy.
48,CHAIR POWELL,"To conclude, we understand that our actions affect communities, families, and businesses across the country."
49,CHAIR POWELL,Everything we do is in service to our public mission.
50,CHAIR POWELL,We at the Fed will do everything we can to achieve our maximum-employment and price-stability goals.
51,CHAIR POWELL,Thank you.
52,CHAIR POWELL,I look forward to your questions.
53,MICHELLE SMITH,Thank you.
54,MICHELLE SMITH,Let’s go to Jeanna at the New York Times.
55,JEANNA SMIALEK,"Hi, Chair Powell."
56,JEANNA SMIALEK,Thank you so much for taking our questions.
57,JEANNA SMIALEK,"I wonder if you could detail your thinking a little bit about how you’re considering the, you know, the risks of going too fast and potentially tipping the economy into recession and how you’re weighing those risks against the possibility of going too slowly, allowing inflation to become embedded, and kind of getting “behind the curve.” CHAIR POWELL."
58,JEANNA SMIALEK,"So I guess I would start by saying that, in my view, the probability of a recession within the next year is not particularly elevated."
59,JEANNA SMIALEK,And why do I say that?
60,JEANNA SMIALEK,"Aggregate demand is currently strong, and most forecasters expect it to remain so."
61,JEANNA SMIALEK,"If you look at the labor market, [you find that it is] also very strong."
62,JEANNA SMIALEK,"Conditions are tight, and payroll job growth is March 16, 2022 continuing at very high levels."
63,JEANNA SMIALEK,Household and business balance sheets are strong.
64,JEANNA SMIALEK,"And so all Chair Powell’s Press Conference FINAL signs are that this is a strong economy and, indeed, one that will be able to flourish—not to say withstand, but certainly flourish—as well in the face of less accommodative monetary policy."
65,JEANNA SMIALEK,So I guess that’s how I would say I’m looking at that.
