,speaker,sentence
0,CHAIR YELLEN,Good afternoon.
1,CHAIR YELLEN,"Today the Federal Open Market Committee decided to raise the target range for the federal funds rate by ¼ percentage point, bringing it to ½ to ¾ percent."
2,CHAIR YELLEN,"In doing so, my colleagues and I are recognizing the considerable progress the economy has made toward our dual objectives of maximum employment and price stability."
3,CHAIR YELLEN,"Over the past year, 2¼ million net new jobs have been created, unemployment has fallen further, and inflation has moved closer to our longer-run goal of 2 percent."
4,CHAIR YELLEN,"We expect the economy will continue to perform well, with the job market strengthening further and inflation rising to 2 percent over the next couple of years."
5,CHAIR YELLEN,"I’ll have more to say about monetary policy shortly, but first I’ll review recent economic developments and the outlook."
6,CHAIR YELLEN,Economic growth has picked up since the middle of the year.
7,CHAIR YELLEN,"Household spending continues to rise at a moderate pace, supported by income gains and by relatively high levels of consumer sentiment and wealth."
8,CHAIR YELLEN,"Business investment, however, remains soft despite some stabilization in the energy sector."
9,CHAIR YELLEN,"Overall, we expect the economy will expand at a moderate pace over the next few years."
10,CHAIR YELLEN,"Job gains averaged nearly 180,000 per month over the past three months, maintaining the solid pace that we’ve seen since the beginning of the year."
11,CHAIR YELLEN,"Over the past seven years, since the depths of the Great Recession, more than 15 million jobs have been added to the U.S. economy."
12,CHAIR YELLEN,"The unemployment rate fell to 4.6 percent in November, the lowest level since 2007, prior to the recession."
13,CHAIR YELLEN,"Broader measures of labor market slack have also moved lower, and participation in the labor force has been little changed, on net, for about two years now, a further sign of improved conditions in the labor market given the underlying downward trend in participation stemming largely from the aging of the U.S. population."
14,CHAIR YELLEN,"Looking ahead, we expect that job conditions will strengthen somewhat further."
15,CHAIR YELLEN,"Turning to inflation, the 12-month change in the price index for personal consumption expenditures was nearly 1½ percent in October, still short of our 2 percent objective but up more than a percentage point from a year earlier."
16,CHAIR YELLEN,Core inflation—which excludes energy and food prices that tend to be more volatile than other prices—has risen to 1¾ percent.
17,CHAIR YELLEN,"As the transitory influences of earlier declines in energy prices and prices of imports continue to fade and as the job market strengthens further, we expect overall inflation to rise to 2 percent over the next couple of years."
18,CHAIR YELLEN,Our inflation outlook rests importantly on our judgment that longer-run inflation expectations remain reasonably well anchored.
19,CHAIR YELLEN,Market-based measures of inflation compensation have moved up considerably but are still low.
20,CHAIR YELLEN,"Survey-based measures of longer-run inflation expectations are, on balance, little changed."
21,CHAIR YELLEN,"Of course, we remain committed to our 2 percent inflation objective and will continue to carefully monitor actual and expected progress toward this goal."
22,CHAIR YELLEN,Let me now turn to the economic projections that were submitted for this meeting by Committee participants.
23,CHAIR YELLEN,"As always, they conditioned their projections on their own individual views of appropriate monetary policy, which, in turn, depend on each participant’s assessment of the multitude of factors that shape the outlook."
24,CHAIR YELLEN,"The median projection for growth of inflation-adjusted gross domestic product rises from 1.9 percent this year to 2.1 percent in 2017 and stays close to 2 percent in 2018 and 2019, slightly above its estimated longer-run rate."
25,CHAIR YELLEN,The median projection for the unemployment rate stands at 4.7 percent in the fourth quarter of this year.
26,CHAIR YELLEN,"Over the next three years, the median unemployment rate runs at 4.5 percent, modestly below the median estimate of its longer-run normal rate."
27,CHAIR YELLEN,"Finally, the median inflation projection is 1.5 percent this year and rises to 1.9 percent next year and 2 percent in 2018 and 2019."
28,CHAIR YELLEN,"Overall, these economic projections are very similar to those made in September: GDP growth is a touch stronger; the unemployment rate is a shade lower; and inflation, beyond this year, is unchanged."
29,CHAIR YELLEN,"Returning to monetary policy, the Committee judged that a modest increase in the federal funds rate is appropriate in light of the solid progress we have seen toward our goals of maximum employment and 2 percent inflation."
30,CHAIR YELLEN,We continue to expect that the evolution of the economy will warrant only gradual increases in the federal funds rate over time to achieve and maintain our objectives.
31,CHAIR YELLEN,"That’s based on our view that the neutral nominal federal funds rate—that is, the interest rate that is neither expansionary nor contractionary and keeps the economy operating on an even keel—is currently quite low by historical standards."
32,CHAIR YELLEN,"With the federal funds rate only modestly below the neutral rate, we continue to expect that gradual increases in the federal funds rate will likely be sufficient to get to a neutral policy stance over the next few years."
33,CHAIR YELLEN,This view is consistent with participants’ projections of appropriate monetary policy.
34,CHAIR YELLEN,"The median projection for the federal funds rate rises to 1.4 percent at the end of next year, 2.1 percent at the end of 2018, and 2.9 percent by the end of 2019."
35,CHAIR YELLEN,"Compared with the projections made in September, the median path for the federal funds rate has been revised up just ¼ percentage point."
36,CHAIR YELLEN,"Only a few participants altered their estimate of the longer-run normal federal funds rate, although the median edged up to 3 percent."
37,CHAIR YELLEN,"Of course, the economic outlook is highly uncertain, and participants will adjust their assessments of the appropriate path for the federal funds rate in response to changes to the economic outlook and associated risks."
