,speaker,sentence
0,CHAIR YELLEN,Good afternoon.
1,CHAIR YELLEN,"As you know from our policy statement released a short time ago, the Federal Open Market Committee reaffirmed the current 0 to ¼ percent target range for the federal funds rate."
2,CHAIR YELLEN,"Since the Committee met in July, the pace of job gains has been solid, the unemployment rate has declined, and overall labor market conditions have continued to improve."
3,CHAIR YELLEN,"Inflation, however, has continued to run below our longer-run objective, partly reflecting declines in energy and import prices."
4,CHAIR YELLEN,"While we still expect that the downward pressure on inflation from these factors will fade over time, recent global economic and financial developments are likely to put further downward pressure on inflation in the near term."
5,CHAIR YELLEN,These developments may also restrain U.S. activity somewhat but have not led at this point to a significant change in the Committee’s outlook for the U.S. economy.
6,CHAIR YELLEN,The Committee continues to anticipate that the first increase in the federal funds rate will be appropriate when it has seen some further improvement in the labor market and is reasonably confident that inflation will move back to its 2 percent objective over the medium term.
7,CHAIR YELLEN,It remains the case that the Committee will determine the timing of the initial increase based on its assessment of the implications of incoming information for the economic outlook.
8,CHAIR YELLEN,I will note that the importance of the initial increase should not be overstated: The stance of monetary policy will likely remain highly accommodative for quite some time after the initial increase in the federal funds rate in order to support continued progress toward our objectives of maximum employment and 2 percent inflation.
9,CHAIR YELLEN,"I will come back to today’s policy decision in a few moments, but first I would like to review recent economic developments and the outlook."
10,CHAIR YELLEN,"Smoothing through the quarterly volatility, U.S. real gross domestic product is estimated to have expanded at a 2¼ percent pace in the first half of the year, a notably stronger outcome than expected in June, when Committee participants had submitted economic projections."
11,CHAIR YELLEN,Continued job gains and increases in real disposable income have supported household spending.
12,CHAIR YELLEN,"Growth in business fixed investment was moderate, held down in part by a significant contraction in oil drilling activity as a result of the large drop in oil prices over the past year."
13,CHAIR YELLEN,"Moreover, net exports were a substantial drag on GDP growth during the first half of the year, reflecting the earlier appreciation of the dollar and weaker foreign demand."
14,CHAIR YELLEN,The Committee continues to expect a moderate pace of overall GDP growth even though the restraint from net exports is likely to persist for a time.
15,CHAIR YELLEN,The labor market has shown further progress so far this year toward our objective of maximum employment.
16,CHAIR YELLEN,"Over the past three months, job gains averaged 220,000 per month."
17,CHAIR YELLEN,"The unemployment rate, at 5.1 percent in August, was down 0.4 percent from the latest reading available at the time of our June meeting, although that decline was accompanied by some reduction in the labor force participation rate over the same period."
18,CHAIR YELLEN,A broader measure of unemployment that includes individuals who want and are available to work but have not actively searched recently and people who are working part time but would rather work full time has continued to improve.
19,CHAIR YELLEN,"That said, some cyclical weakness likely remains: While the unemployment rate is close to most FOMC participants’ estimates of the longer-run normal level, the participation rate is still below estimates of its underlying trend, involuntary part-time employment remains elevated, and wage growth remains subdued."
20,CHAIR YELLEN,"Inflation has continued to run below our 2 percent objective, partly reflecting declines in energy and import prices."
21,CHAIR YELLEN,My colleagues and I continue to expect that the effects of these factors on inflation will be transitory.
22,CHAIR YELLEN,"However, the recent additional decline in oil prices and further appreciation of the dollar mean that it will take a bit more time for these effects to fully dissipate."
23,CHAIR YELLEN,"Accordingly, the Committee anticipates that inflation will remain quite low in the coming months."
24,CHAIR YELLEN,"As these temporary effects fade and, importantly, as the labor market improves further, we expect inflation to move gradually back toward our 2 percent objective."
25,CHAIR YELLEN,Survey-based measures of longer-term inflation expectations have remained stable.
26,CHAIR YELLEN,"However, the Committee has taken note of recent declines in market-based measures of inflation compensation and will continue to monitor inflation developments carefully."
27,CHAIR YELLEN,"This assessment of the outlook is reflected in the individual economic projections submitted for this meeting by FOMC participants, which now extend through 2018."
28,CHAIR YELLEN,"As announced in the minutes from our July meeting, we are also introducing a modest enhancement to the Summary of Economic Projections by publishing the median projection across FOMC participants."
29,CHAIR YELLEN,These medians provide a concise summary statistic of participants’ perspectives.
30,CHAIR YELLEN,"They should not, however, be interpreted as a collective view or a Committee forecast."
31,CHAIR YELLEN,"As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy."
32,CHAIR YELLEN,"Reflecting upward revisions for the first half of the year, participants increased their projections for economic growth this year, compared with the projections made in conjunction with the June FOMC meeting."
33,CHAIR YELLEN,"The median growth projection is 2.1 percent for this year and rises to 2.3 percent in 2016, somewhat above the median estimate of the longer-run normal growth rate."
34,CHAIR YELLEN,"Thereafter, the median growth projection declines toward its longer-run rate."
35,CHAIR YELLEN,The unemployment rate projections are a bit lower than in June.
36,CHAIR YELLEN,"At the end of this year, the median unemployment rate projection stands at 5 percent, down 0.3 percent from June and close to the median estimate of the longer-run normal unemployment rate."
37,CHAIR YELLEN,Committee participants generally see the unemployment rate declining a little further next year and then leveling out.
38,CHAIR YELLEN,"Finally, FOMC participants project inflation to be very low this year, largely reflecting lower energy and non-energy import prices."
39,CHAIR YELLEN,"As the transitory factors holding down inflation abate and labor market conditions continue to firm, the median inflation projection rises from just 0.4 percent this year to 1.7 percent next year and reaches 2 percent in 2018."
40,CHAIR YELLEN,The path of the median inflation projections is a bit lower than in June.
41,CHAIR YELLEN,"The outlook abroad appears to have become more uncertain of late, and heightened concerns about growth in China and other emerging market economies have led to notable volatility in financial markets."
42,CHAIR YELLEN,"Developments since our July meeting—including the drop in equity prices, the further appreciation of the dollar, and a widening in risk spreads—have tightened overall financial conditions to some extent."
43,CHAIR YELLEN,These developments may restrain U.S. economic activity somewhat and are likely to put further downward pressure on inflation in the near term.
44,CHAIR YELLEN,"Given the significant economic and financial interconnections between the United States and the rest of the world, the situation abroad bears close watching."
45,CHAIR YELLEN,"Returning to monetary policy, we recognize that there has been a great deal of focus on today’s policy decision."
46,CHAIR YELLEN,The recovery from the Great Recession has advanced sufficiently far and domestic spending appears sufficiently robust that an argument can be made for a rise in interest rates at this time.
47,CHAIR YELLEN,We discussed this possibility at our meeting.
48,CHAIR YELLEN,"However, in light of the heightened uncertainties abroad and a slightly softer expected path for inflation, the Committee judged it appropriate to wait for more evidence, including some further improvement in the labor market, to bolster its confidence that inflation will rise to 2 percent in the medium term."
49,CHAIR YELLEN,"Now, I do not want to overplay the implications of these recent developments, which have not fundamentally altered our outlook."
50,CHAIR YELLEN,"The economy has been performing well, and we expect it to continue to do so."
51,CHAIR YELLEN,"As I noted earlier, it remains the case that the timing of the initial increase in the federal funds rate will depend on the Committee’s assessment of the implications of incoming information for the economic outlook."
