,speaker,sentence
0,CHAIRMAN BERNANKE,Good afternoon.
1,CHAIRMAN BERNANKE,The Federal Open Market Committee (FOMC) concluded a two-day meeting earlier today.
2,CHAIRMAN BERNANKE,"As you already know from our statement, the Committee decided today to keep the target range for the federal funds rate at 0 to ¼ percent and to make no change in either its asset purchase program or its forward guidance regarding the federal funds rate target."
3,CHAIRMAN BERNANKE,I will discuss the rationales for our decision in a moment.
4,CHAIRMAN BERNANKE,"Economic growth has generally been proceeding at a moderate pace, with continued—albeit somewhat uneven—improvement in labor market conditions."
5,CHAIRMAN BERNANKE,"Of course, to say that the job market has improved does not imply that current conditions are satisfactory."
6,CHAIRMAN BERNANKE,"Notably, at 7.3 percent, the unemployment rate remains well above acceptable levels."
7,CHAIRMAN BERNANKE,Long-term unemployment and underemployment remain high.
8,CHAIRMAN BERNANKE,"And we have seen ongoing declines in labor force participation, which likely reflects discouragement on the part of many potential workers as well as longer-term influences, such as the aging of the population."
9,CHAIRMAN BERNANKE,"In the Committee’s assessment, the downside risks to growth have diminished, on net, over the past year, reflecting, among other factors, somewhat better economic and financial conditions in Europe and increased confidence on the part of households and firms in the staying power of the U.S. recovery."
10,CHAIRMAN BERNANKE,"However, the tightening of financial conditions observed in recent months, if sustained, could slow the pace of improvement in the economy and the labor market."
11,CHAIRMAN BERNANKE,"In addition, federal fiscal policy continues to be an important restraint on growth and a source of downside risk."
12,CHAIRMAN BERNANKE,"Apart from some fluctuations due primarily to changes in oil prices, inflation has continued to run below the Committee’s 2 percent longer-term objective."
13,CHAIRMAN BERNANKE,"The Committee recognizes that inflation persistently below its objective could pose risks to economic performance, and we will continue to monitor inflation developments closely."
14,CHAIRMAN BERNANKE,"However, the unwinding of some transitory factors has led to moderately higher inflation recently, as expected."
15,CHAIRMAN BERNANKE,"And, with longer-term inflation expectations well anchored, the Committee anticipates that inflation will gradually move back toward 2 percent."
16,CHAIRMAN BERNANKE,"In conjunction with this meeting, the 17 participants in our policy discussions—5 Board members and 12 Reserve Bank presidents—submitted individual economic projections."
17,CHAIRMAN BERNANKE,"As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy."
18,CHAIRMAN BERNANKE,"Also, at this meeting, we extended the horizon of our projections through 2016."
19,CHAIRMAN BERNANKE,"Generally, the projections of individual participants show that they continue to expect moderate economic growth, picking up over time, as well as gradual progress towards levels of unemployment and inflation, consistent with the Federal Reserve’s statutory mandate to foster maximum employment and price stability."
