,speaker,sentence
0,"afternoon, everyone",Thanks for being here.
1,"afternoon, everyone","I am going to start with an overview of how my colleagues and I see the economy, what we decided today, and then a bit about our expectations for the months ahead."
2,"afternoon, everyone",Our economy is strong.
3,"afternoon, everyone",Growth is running at a healthy clip.
4,"afternoon, everyone","Unemployment is low, the number of people working is rising steadily, and wages are up."
5,"afternoon, everyone",Inflation is low and stable.
6,"afternoon, everyone",All of these are very good signs.
7,"afternoon, everyone","Of course, that’s not to say that everything is perfect."
8,"afternoon, everyone",The benefits of this strong economy have not reached all Americans.
9,"afternoon, everyone","Many of our country’s economic challenges are beyond the scope of the Fed, but my colleagues and I are doing all we can to keep the economy strong, healthy, and moving forward."
10,"afternoon, everyone",That is the best way we can promote an environment in which every American has the opportunity to succeed.
11,"afternoon, everyone","Each time my colleagues and I meet, we face the same question: How can we set policy to best support job growth and low, steady inflation?"
12,"afternoon, everyone","For many years, this question called for very low interest rates to help an economy that had been damaged by the deep financial crisis that gripped the world 10 years ago."
13,"afternoon, everyone","As the economy has steadily gained strength, the Fed has been gradually returning interest rates closer to levels that are normal in a healthy economy."
14,"afternoon, everyone",We took another step on that path today with a quarter-point increase in short-term interest rates.
15,"afternoon, everyone","These rates remain low, and my colleagues and I believe that this gradual return to normal is helping to sustain this strong economy for the longer-run benefit of all Americans."
16,"afternoon, everyone","As I mentioned, 10 years have now passed since the depths of the financial crisis—a painful part of our history that cost many Americans their jobs, their homes, and, for some, their hopes and dreams."
17,"afternoon, everyone","In addition to holding interest rates low to support the recovery, we have also taken many steps to make the financial system safer."
18,"afternoon, everyone","In particular, we’re holding the largest September 26, 2018 banks to much higher standards in the amount of capital and liquidity they hold and in the ways Chairman Powell’s Press Conference FINAL they assess and manage the risks they take."
19,"afternoon, everyone",I am confident that the system today is stronger and in a far better position to support the financial needs of households and businesses through good times and bad.
20,"afternoon, everyone",We continue to work to sustain these fundamental improvements while also ensuring that regulation is both effective and efficient.
21,"afternoon, everyone","Now, let me go into more detail about the developments that motivated today’s policy decision."
22,"afternoon, everyone","Both household spending and business investment are expanding briskly, and the overall growth outlook remains favorable."
23,"afternoon, everyone","And several factors support this assessment: Fiscal policy is boosting the economy, ongoing job gains are raising incomes and confidence, and overall financial conditions remain accommodative."
24,"afternoon, everyone",These conditions are consistent with our Summary of Economic Projections for this meeting.
25,"afternoon, everyone",The median of Committee participants’ projections for the growth of real GDP is 3.1 percent this year and 2.5 percent next year.
26,"afternoon, everyone","Job gains averaged 185,000 per month over the last three months, well above the pace needed in the longer run to provide jobs for new entrants to the labor force."
27,"afternoon, everyone",The unemployment rate stood at 3.9 percent in August and has been near that level since April.
28,"afternoon, everyone","Smoothing through month-to-month variations, the labor force participation rate remains about where it was in late 2013—a positive sign, given that the aging of our population is putting downward pressure on participation."
29,"afternoon, everyone",We expect the job market to remain strong.
30,"afternoon, everyone",And the median of Committee participants’ projections for the unemployment rate later this year is 3.7 percent and a bit lower than that in 2019.
31,"afternoon, everyone","Overall consumer prices, as measured by the price index for personal consumption expenditures (PCE inflation), increased 2.3 percent over the 12 months ending in July."
32,"afternoon, everyone","The core price index, which excludes the prices of energy and food and tends to be a better indicator of September 26, 2018 future inflation, rose 2 percent over the same period."
33,"afternoon, everyone","The FOMC seeks, and expects to see, Chairman Powell’s Press Conference FINAL inflation remaining near our 2 percent longer-run objective on a sustained basis."
34,"afternoon, everyone","At any given time, inflation may be somewhat above or below 2 percent."
35,"afternoon, everyone","For example, the recent rise in oil prices has pushed inflation a little above 2 percent, but we expect this to be transitory, as is reflected in our projections."
36,"afternoon, everyone",The median projections for both the overall and core inflation measures remain very close to 2 percent across the whole projection horizon.
37,"afternoon, everyone","Today the Committee raised the target range for the federal funds rate by ¼ percentage point, bringing it to 2 to 2¼ percent."
38,"afternoon, everyone",This action reflects the strength we see in the economy and is one more step in the process that we began almost three years ago of gradually returning interest rates to more normal levels.
39,"afternoon, everyone","Looking ahead, today’s projections show gradual interest rate increases continuing roughly as foreseen in June."
40,"afternoon, everyone",The median of participants’ views on appropriate policy through 2020 are unchanged since the June meeting.
41,"afternoon, everyone",These projections play an important role in our work.
42,"afternoon, everyone",My colleagues and I believe that it’s useful to communicate our views on likely prospects for the economy and for policy.
43,"afternoon, everyone","We are well aware, however, that the economy regularly surprises, and that even the most carefully constructed projections are highly uncertain."
44,"afternoon, everyone","The projections about the appropriate path of policy assume that the economy evolves broadly in line with the projections for growth, employment, unemployment, and inflation."
45,"afternoon, everyone","If the economy were instead to falter, lower interest rates would be appropriate."
46,"afternoon, everyone","Conversely, if inflationary pressures were to rise more than expected, higher interest rates would be appropriate."
47,"afternoon, everyone","Right now, as our statement indicates, risks to the economic outlook appear roughly balanced."
48,"afternoon, everyone","Readers of the FOMC statement likely noted that the Committee dropped a sentence that indicated that “the stance of monetary policy remains accommodative.” This change does not September 26, 2018 signal any change in the likely path of policy; instead, it is a sign that policy is proceeding in line Chairman Powell’s Press Conference FINAL with our expectations."
49,"afternoon, everyone","We still expect, as our statement says, “further gradual increases in the target range for the federal funds rate,” and this expectation is reflected in the projections that I just discussed."
50,"afternoon, everyone",Thanks very much.
51,"afternoon, everyone",I’m happy to take your questions.
52,NICK TIMIRAOS,Thank you.
53,NICK TIMIRAOS,"Nick Timiraos, the Wall Street Journal."
54,NICK TIMIRAOS,"Chair Powell, given the lags of monetary policy, I want to know how you think about ending the tightening cycle?"
55,NICK TIMIRAOS,How will you know when to stop?
56,NICK TIMIRAOS,And do you need to keep going until something in the economy breaks?
57,CHAIRMAN POWELL,"So the tightening cycle, as you know, is a reflection of the strength of the economy."
58,CHAIRMAN POWELL,And it’s almost three years now that we’ve been gradually raising rates.
59,CHAIRMAN POWELL,"And I think the fact that we have moved quite gradually, in a way, allows us to carefully watch incoming data in the real economy and in the financial markets to see how the economy is processing higher interest rates."
60,CHAIRMAN POWELL,"And the fact that we’re moving so gradually—I think it—I think it limits the long and variable lags problem because, you know, we’re being able to raise rates and then wait and see how the economy absorbs these rate increases."
61,CHAIRMAN POWELL,"And so far, the economy has performed very well and very much in keeping with our expectations."
62,JIM PUZZANGHERA,"Hi, Jim Puzzanghera from the L.A. Times."
63,JIM PUZZANGHERA,President Trump has stated publicly he’s not thrilled with the interest rate hikes.
64,JIM PUZZANGHERA,His comments didn’t appear to have any impact on you or your colleagues.
65,JIM PUZZANGHERA,Were his comments discussed at your meeting?
66,JIM PUZZANGHERA,And do you have any concerns about the effect of these types of comments on the perception of the Fed’s independence and your monetary policy?
67,CHAIRMAN POWELL,"So we’ve been given a really important job to do on behalf of the American people by Congress, and we’ve been given the tools to do it, and my colleagues September 26, 2018 and I are focused exclusively on carrying out that mission."
68,CHAIRMAN POWELL,"We consider the best thinking, the Chairman Powell’s Press Conference FINAL best theory, and the best evidence."
69,CHAIRMAN POWELL,"We have disparate points of view, which we debate extensively and come to a perspective and try to set monetary policy to achieve maximum employment in a context of price stability."
70,CHAIRMAN POWELL,That’s what we do.
71,CHAIRMAN POWELL,We don’t consider political factors or things like that.
72,CHAIRMAN POWELL,"And so that’s who we are, that’s what we do, and that’s just the way it’s always going to be for us."
73,STEVE LIESMAN,"Steve Liesman, CNBC."
