,sentence
0,"Against that background, I will touch briefly on fiscal and monetary policy here in the United States, before turning to financial regulatory issues."
1,"Over the last few years, the fiscal authorities have cut federal spending and raised taxes, and our Congressional Budget Office estimates that these fiscal headwinds will reduce real GDP growth by about 1.5 percentage points this year from what it otherwise would have been."
2,I will turn for a moment to monetary policy.
3,The Congress has tasked the Federal Reserve with conducting monetary policy to foster stable prices and full employment.
4,"Today, inflation is well below our 2 percent longer-term objective, as measured by prices for personal consumption expenditures."
5,"And although the unemployment rate has declined notably since its peak in 2010, it remains well above our estimate of a longer-run, more normal level."
6,"I expect that inflation will return gradually to our 2 percent objective, and that we will continue to make progress in reducing unemployment."
7,"In the meantime, the case for continued support for our economy from monetary policy remains strong."
8,"With these fiscal headwinds and the lingering effects of the recession, growth has remained in the range of 2 percent since 2009."
9,"House prices are rising, and that is supporting improvement in household net worth and consumer attitudes."
10,"Homebuilders are responding to this price signal with rising housing starts, which will support job growth."
11,"Together, these and other factors give grounds to hope for the kind of self-reinforcing cycle of economic growth that we have been waiting to see."
12,"And as our economy has gradually improved, it has become possible, and appropriate, for the Federal Reserve to provide clearer guidance on the path of monetary policy."
13,"In all likelihood, this path will involve continued support from accommodative monetary policy for quite some time."
