,sentence
0,"As indicated in our policy statement, the FOMC “reaffirmed its view that the current 0 to ¼ percent target range for the federal funds rate remains appropriate.” The Committee also updated its forward guidance for the federal funds rate, indicating that “the Committee judges that it can be patient in beginning to normalize the stance of monetary policy.” This new language does not represent a change in our policy intentions and is fully consistent with our previous guidance, which stated that it likely will be appropriate to maintain the current target range for the federal funds rate for a considerable time after the end of our asset purchase program."
1,"In the labor market, progress continues toward the FOMC’s objective of maximum employment."
2,"The pace of job growth has been strong recently, with job gains averaging nearly 280,000 per month over the past 3 months; over the past 12 months, job gains averaged nearly 230,000 per month."
3,"The unemployment rate was 5.8 percent in November, three-tenths lower than the latest reading available at the time of the September FOMC meeting."
4,"Smoothing through the quarterly ups and downs earlier this year, real GDP expanded around 2½ percent over the four quarters ending in the third quarter, and the available indicators suggest that economic growth is running at roughly that pace in the current quarter."
5,The Committee continues to expect a moderate pace of growth going forward.
6,"Inflation has continued to run below the Committee’s 2 percent objective, and the recent sizable declines in oil prices will likely hold down overall inflation in the near term."
7,"But as the effects of these oil price declines and other transitory factors dissipate and as resource utilization continues to rise, the Committee expects inflation to move gradually back toward its objective."
8,"In making this forecast, the Committee is mindful of the recent declines in market-based measures of inflation compensation."
9,"At this point, the Committee views these movements as likely to prove transitory, and survey-based measures of longer-term inflation expectations have remained stable."
10,"As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy."
11,"The central tendency of the unemployment rate projections is slightly lower than in the September projections and now stands at 5.2 to 5.3 percent at the end of next year, in line with its estimated longer-run normal level."
12,"Committee participants generally see the unemployment rate declining a little further over December 17, 2014 the course of 2016 and 2017."
13,"The central tendency of the projections for real GDP growth is Chair Yellen’s Press Conference FINAL 2.3 to 2.4 percent for 2014, up a bit from the September projections."
14,"Over the next three years, the projections for real GDP growth run somewhat above the estimates of longer-run normal growth."
15,"Finally, although FOMC participants project inflation in the near term to be lower on account of the decline in energy prices, they continue to see inflation moving gradually back toward 2 percent."
16,"The central tendency of the inflation projections is 1.0 to 1.6 percent next year, rising to 1.8 to 2.0 percent in 2017."
17,"As I noted earlier, the Committee “reaffirmed its view that the current 0 to ¼ percent target range for the federal funds rate remains appropriate.” Regarding forward guidance for the federal funds rate, our October statement indicated that it likely would be appropriate to maintain the current target range for the federal funds rate for a considerable time following the end of our asset purchase program, especially if projected inflation continues to run below the Committee’s 2 percent longer-run goal."
18,"Today’s statement, which indicates that “the Committee judges that it can be patient in beginning to normalize the stance of monetary policy,” does not signify any change in the Committee’s policy intentions as set forth in its recent statements."
19,"As before, this judgment is based on the Committee’s assessment of realized and expected progress toward its objectives of maximum employment and 2 percent inflation—an assessment that is based on a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments."
20,"Employment is rising at a healthy rate and the U.S. economy is strengthening, reflecting, in part, a highly accommodative stance of monetary policy."
21,"Of course, inflation has been running somewhat below our goal of 2 percent, but we project that gap to close gradually over time."
22,"As progress in achieving maximum employment and 2 percent inflation continues, at some point it will become appropriate to begin reducing policy accommodation."
23,"If incoming information indicates faster progress toward the Committee’s employment and inflation objectives than the Committee now expects, then increases in the target range for the federal funds rate are likely to occur sooner than currently anticipated."
24,"Once we begin to remove policy accommodation, it continues to be the Committee’s assessment that, “even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run.” This guidance is consistent with the paths for appropriate policy given by FOMC participants."
25,"By the time December 17, 2014 of liftoff, participants expect to see some further decline in the unemployment rate and additional Chair Yellen’s Press Conference FINAL improvement in labor market conditions."
26,They also expect core inflation to be running near current levels but foresee being reasonably confident in their expectation that inflation will move back toward our 2 percent longer-run inflation objective over time.
27,"By late 2016, the median projection for the federal funds rate, at 2.5 percent, remains more than 1 percentage point below the longer-run value of 3¾ percent or so projected by most participants, even though the central tendency of the unemployment rate by that time is slightly below its estimated longer-run value and the central tendency for inflation is close to our 2 percent objective."
28,The Committee’s sizable holdings of longer-term securities should help maintain accommodative financial conditions and promote further progress toward our objectives of maximum employment and inflation of 2 percent.
29,"You asked also, I think, about inflation."
30,"And, as I mentioned in my press statement, especially with the downward pressures on inflation that we expect to see for a little while because of declining oil prices and falling import prices, we certainly expect headline inflation to December 17, 2014 be under downward pressure for a while."
31,And they do largely expect that inflation will be—core inflation will probably be running close to its current level.
32,And headline inflation could even be lower.
33,"And, of course, as labor market conditions continue to improve, history suggests that as long as inflation expectations remain well anchored, that that’s likely to occur."
34,The very substantial decline we have seen in oil prices is one of the most important developments shaping the global outlook.
35,"I think the judgment of the Committee is that, from the standpoint of the United States and the U.S. outlook, that the decline we have seen in oil prices is likely to be, on net, a positive."
36,"With respect to deflation, we see downward pressure on headline inflation from declining energy prices."
37,"We certainly recognize that that is going to be pushing down headline inflation and may even spill over, to some extent, to core inflation."
38,"But, at this point, although we indicated we’re monitoring inflation developments carefully, we see these developments as transitory."
39,"And the Committee continues to believe—especially with the improvement we’re seeing in the labor market, which we expect to continue—that inflation will move back up to our December 17, 2014 2 percent objective over time."
40,"But other alternatives, I think, are priced into the market."
41,And one reason that the market prices may be different than the Committee’s is because they place probability on other outcomes that look different than what they regard as the modal forecast.
42,"There are a number of different factors that are bearing on the path of market interest rates, I think, including global economic developments."
43,"It is often the case that when oil prices move down and the dollar appreciates, that that tends to put downward pressure on inflation compensation and on longer-term rates."
44,"Well I—I’d say, you know, that I think what we have seen since the mid-’80s is that, in an environment where inflation expectations are well anchored, that movements in oil and commodity prices and import prices tend to have transitory effects on the inflation outlook."
45,"There were many years in which we had unanticipated increases in oil prices, really beginning in 2004 and 2005, that put upward pressure on headline inflation and sometimes even spilled through into core, and, typically, the Committee looked through those impacts on inflation with the view that they would be transitory."
46,"Inflation, even core inflation, has been running below our inflation objective."
47,"Movements in oil, you know, now down and perhaps later up, will move inflation around, certainly headline inflation."
48,"So as long as participants December 17, 2014 feel reasonably confident that the inflation projection is one where we expect to meet our Chair Yellen’s Press Conference FINAL 2 percent objective over time, that’s what I think how they’ll be looking at things as we decide on the path for the funds rate."
49,"And with respect to inflation—our forecast for inflation and inflation expectations, let me start by saying I think it’s important that monetary policy be forward looking."
50,"The lags in monetary policy are long, and, therefore, the Committee has to base its decisions on how to set the federal funds rate looking into the future."
