,sentence
0,"As always, we base our decisions on our judgment of how best to achieve the goals Congress has given us: maximum employment and price stability."
1,"We believe monetary policy is well positioned to serve the American people by supporting continued economic growth, a strong job market, and a return of inflation to our symmetric 2 percent goal."
2,"Growth in household spending moderated toward the end of last year, but with a healthy job market, rising incomes, and upbeat consumer confidence, the fundamentals supporting household spending are solid."
3,Sluggish growth abroad and trade developments have been weighing on activity in these sectors.
4,"However, some of the uncertainties around trade have diminished recently, and there are some signs that global growth may be stabilizing after declining since mid-2018."
5,"Overall, with monetary and financial conditions supportive, we expect moderate economic growth to continue."
6,"The unemployment rate has been near half-century lows for well more than a year, and the pace of job gains remains solid."
7,Employment gains have been broad based across all racial and ethnic groups and all levels of education.
8,These developments underscore for us the importance of sustaining the expansion so that the strong job market reaches more of those left behind.
9,Inflation continues to run below our symmetric 2 percent objective.
10,"Over the 12 months through November, total PCE inflation was 1.5 percent, and core inflation, which excludes volatile food and energy prices, was 1.6 percent."
11,"Available data suggest similar inflation readings for December, though we expect inflation to move closer to 2 percent over the next few months as unusually low readings from early 2019 drop out of the calculation."
12,"While low and stable inflation is certainly a good thing, inflation that runs persistently below our objective can lead longer-term inflation expectations to drift down, pulling actual inflation even lower."
13,"In turn, interest rates would be lower as well—closer to their effective lower bound."
14,"As a result, we would have less room to reduce interest rates to support the economy in a future downturn to the detriment of American families and businesses."
15,"In particular, we believe the current stance of monetary policy is appropriate to support sustained economic growth, a strong labor market, and inflation returning to our 2 percent—symmetric 2 percent objective."
16,"As long as incoming information about the economy remains broadly consistent with this outlook, the current stance of monetary policy likely will remain appropriate."
17,I will conclude with a brief overview of our current plans for our technical operations to implement monetary policy.
18,"At that point, as in the pre-crisis period, our balance sheet will be expanding gradually over time, reflecting the trend growth in the demand for currency and other Federal Reserve liabilities."
19,All of these technical measures are designed to support the efficient and effective implementation of monetary policy and are not intended to represent a chance—a change in the stance of monetary policy.
20,"So you may remember, in the December minutes we noted that a few Committee members suggested that the language that stated that monetary policy would support inflation near 2 percent could be misinterpreted as suggesting that policymakers were comfortable with inflation running below that level."
21,So we thought about that in the intermeeting period and concluded that it would be appropriate to adjust that language to send a clearer signal that we’re not comfortable with inflation rising persistently—running persistently below our 2 percent symmetric objective.
22,"It’s just that we wanted to underscore our commitment to 2 percent not being a ceiling to inflation running around—symmetrically around 2 percent, and that we’re not satisfied with inflation running below 2 percent, particularly at a time such as now where we’re a long way into an expansion and a long way into a period of very low unemployment when, in theory, inflation should be moving up."
23,"And when we see that we’ve reached that level, we’ll begin to gradually reduce our asset purchases to the level of the underlying trend growth of demand for our liabilities."
24,And we’re prepared to adjust the details of the plan as necessary to foster efficient and effective monetary policy implementation.
25,"You know, our intention of these—for these adjustments is just to raise the level of reserves and to allow us to conduct monetary policy in an efficient and effective manner."
26,"And our plan as we do that is, as those purchases get to that level, we believe we can gradually reduce them, and we believe we can also gradually reduce repo as—as we reach an ample level, as we’re satisfying demand now more from underlying reserves from bill purchases rather than from repo."
27,We see low unemployment.
28,"If you go back a few years, you will not find a lot of forecasts suggesting that we could have been at 63.2 percent overall labor force participation or the levels of employment to population that we’re seeing now, let alone the unemployment level."
29,"We saw—if you go back four or five years, the four or five major wage statistics that we track were running at around 2 percent, and now they’re running at around 3 percent, which is theoretically about where they might be at full employment."
30,It would consist of inflation plus—plus productivity growth.
31,"The—it’s a bit surprising that, with sustained levels of historically low unemployment, we haven’t seen wages moving up above that level as we have in other long expansions and other periods of low unemployment."
