0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
2445,2209,1228,1225,2209,179,318,2071,1708,726,668,1526,2056,2379,1373,210,224,2209,2645,318,1236,1590,318,984,318,2747,469,532,2071,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,730,684,203,2714,2440,581,1454,2701,161,1454,684,770,21,1445,2714,1879,2400,581,328,1454,2071,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2706,926,2209,345,1995,469,2209,328,318,123,1141,630,2209,1116,318,2065,1908,974,561,1231,1001,218,1145,2714,2434,2209,328,318,1026,736,575,1732,108,224,610,318,1026,1141,1454,2531,1236,1541,315,1630,2714,2209,345,1995,469,573,581,1931,469,2355,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,1548,610,224,1044,2658,775,469,2209,1250,2472,179,581,1931,1231,293,1437,1236,1660,179,2632,2209,1612,318,2475,2307,1454,1236,1479,107,469,2209,1471,1392,1454,610,1352,1575,2647,1231,920,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,912,403,523,1611,218,1080,2323,834,1611,2744,2395,2714,1873,940,469,194,355,2617,469,1873,1572,1352,1361,567,441,606,2552,2714,98,2242,271,2323,293,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692,2475,760,726,195,834,318,381,1209,1526,361,1576,328,2209,1467,610,158,581,2647,1231,690,2407,2269,2040,1454,1236,1544,1066,469,1170,1708,2724,318,2340,21,1373,469,195,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,1548,610,1576,328,1231,1989,2571,21,2722,2728,1405,2714,1236,107,2368,469,1483,224,1178,328,66,1067,610,2209,86,1332,2408,636,2318,1810,218,602,1241,567,2714,920,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,2124,610,581,1931,1454,1194,2056,1496,2714,2436,66,534,500,200,1026,2070,1437,2209,520,318,2209,2307,1454,610,2005,271,1454,1839,649,469,1036,2040,2056,2379,1319,2407,1775,2071,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2738,2628,2056,2379,1660,443,2027,514,2209,520,318,2209,2307,1454,2209,1757,179,2056,2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,2371,610,1394,1708,2724,2229,426,2389,2407,726,2038,2049,1512,2209,2222,610,381,227,1708,2475,2307,2306,2408,2368,2187,1526,1548,2318,469,1047,2840,610,726,345,2714,203,2607,2655,2579,391,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
